225,Allée,de la Concorde,266,Rue,du Professeur Vaillant
226,Allée,de l'Etoile,267,Rue,du Verger
227,Allée,des Sylphes,268,Rue,Edouard Vaillant
228,Allée,Voltaire,269,Rue,Etienne Dolet
229,Avenue,Anatole France,270,Rue,François Collet
230,Avenue,Carnot,271,Rue,Frémin + partie rue du potager  
231,Avenue,de Belfort,272,Rue,Georges Elie
232,Avenue,de la République,273,Rue,Henri Alpy
233,Avenue,de la Villageoise,274,Rue,Henri Douillot
234,Avenue,de Rosny,275,Rue,Jean Jaurès
235,Avenue,de Verdun,276,Rue,Jean Lebas
236,Avenue,du 14 Juillet,277,Rue,Jules Auffret
237,Avenue,Gallieni ,278,Rue,Jules Guesde
238,Avenue,Henri Barbusse,279,Rue,Louis Auguste Blanqui
239,Avenue,Henri Varagnat,280,Rue,Lucien Chapelain 
240,Avenue,Jean Moulin,281,Rue,Martin Luther King
241,Avenue,Jules Ferry,282,Rue,Nationale 186 jusqu'à la Rue Baudin 
242,Avenue,Léon Blum (+ Rond point),283,Rue,Pressensé
243,Avenue,Marx Dormoy,284,Rue,René Char
244,Avenue,Maurice Benamou,285,Rue,Robert Douvillez
245,Avenue,Pasteur,286,Rue ,Suzanne Buisson
246,Chemin,de Groslay (+ Rond point du Verger),287,Villa,Gabriel Seailles
247,Chemin,des Carouges,288,Rue,Nadia Murad (rue)
248,Chemin,du Pont jusqu'à la RN 3,289,Rue,Simone Vezil (rue)
249,Cour,de la République,290,Rue,Aretha Franklin (rue)
250,Esplanade,Claude Fuzier ,291,Rue,Benoite Groult (rue)
251,Place,de la République,292,Rue,Gisele Halimi (rue)
252,Place,Gambetta,293,Rue,Françoise Héritier (rue)
253,Place,Nicole Neuburger,294,Rue,Quai des jardins Hubertine Auclert
254,Route ,d'Aulnay (+ Pont),295,Rue,Julie Victoire Daubié (rue)
255,Route,de la forêt,296,Rue,Hélène Boucher (rue)
256,Route ,de Villemonble,297,Rue,Georges Sand (rue)
257,Rond-point,gare (république) ,298,Rue,Frères Darty (rue des)
258,Rue,Auguste Pollissard,,,
259,Rue,Andreï Sakharov,,,
260,Rue,Roger Salengro,,,
261,Rue,de la Liberté ,,,
262,Rue,de la Terre Sainte Blaise,,,
263,Rue,des Cinq Ormes,,,
264,Rue,des Ecoles,,,
265,Rue,du Breuil,,,
