"Nom.du.site","Tronçon","Nombre.de.places","PMR","Livraison","Observations","zone","NATURE","NOM","NOM2"
"Chemin Latéral","Voie entière","63","NA",0,,"orange","Chemin","LATÉRAL","LATÉRAL"
"Rue Laug","Voie entière","12",0,0,,"canal","Rue","LAUG","LAUG"
"Villa Lavigne","Voie entière","5",0,0,,"saule blanc","Villa","LAVIGNE","LAVIGNE"
"Rue de la Liberté","Voie entière","36",1,0,,"saule blanc","Rue","DE LA LIBERTÉ","LIBERTÉ"
"Rue du Lion","Voie entière","17",0,0,,"saule blanc","Rue","DU LION","LION"
"Rue Louis Auguste Blanqui 1"," entre Salengro et Carnot","22",0,0,,"orange","Rue","LOUIS AUGUSTE BLANQUI 1","LOUIS AUGUSTE BLANQUI 1"
"Rue Louis Auguste Blanqui 2"," entre Carnot et Jacqueline Auriol","64",2,0,,"saule blanc","Rue","LOUIS AUGUSTE BLANQUI 2","LOUIS AUGUSTE BLANQUI 2"
"Rue Louis Léon Collignon","Voie entière","32",0,0,,"saule blanc","Rue","LOUIS LÉON COLLIGNON","LOUIS LÉON COLLIGNON"
"Villa Madeleine","Voie entière","8",0,0,,"saule blanc","Villa","MADELEINE","MADELEINE"
"Rue Marcel Paul","Voie entière","39",0,0,,"mare à la veuve","Rue","MARCEL PAUL","MARCEL PAUL"
"Avenue Marguerite","Voie entière","14",0,0,,"canal","Avenue","MARGUERITE","MARGUERITE"
"Avenue Marie Curie","Voie entière","17",0,0,"0","remise à jorelle","Avenue","MARIE CURIE","MARIE CURIE"
"Rue Michelet","Voie entière","44",0,0,,"mainguy","Rue","MICHELET","MICHELET"
"Rue du Midi","Voie entière","63",0,0,,"mare à la veuve","Rue","DU MIDI","MIDI"
"Allée du Moulin","Voie entière","8",0,0,,"mainguy","Allée","DU MOULIN","MOULIN"
"Rue Nadia Murad",,"Travaux en cours",0,0,,"orange","Rue","NADIA MURAD","NADIA MURAD"
"Avenue de Nancy","Voie entière","27",0,0,,"mare à la veuve","Avenue","DE NANCY","NANCY"
"Place Nicole Neuburger","parking","76",2,0,"2 PMR","saule blanc","Place","NICOLE NEUBURGER","NICOLE NEUBURGER"
"Rue Noémie","Voie entière","17",0,0,,"saule blanc","Rue","NOÉMIE","NOÉMIE"
"Rue Paul Vaillant Couturier","Voie entière","24",0,0,,"mainguy","Rue","PAUL VAILLANT COUTURIER","PAUL VAILLANT COUTURIER"
"Rue Pauline Roger","Voie entière","18",0,0,,"mare à la veuve","Rue","PAULINE ROGER","PAULINE ROGER"
"Rue des Peupliers","Voie entière","21",1,1,,"mare à la veuve","Rue","DES PEUPLIERS","PEUPLIERS"
"Rue Philéas Collardeau","Voie entière","23",0,0,,"mainguy","Rue","PHILÉAS COLLARDEAU","PHILÉAS COLLARDEAU"
"Avenue des Platanes","Voie entière","21",0,0,,"mare à la veuve","Avenue","DES PLATANES","PLATANES"
"Rampe du Pont","Voie entière","12",0,0,,"mare à la veuve","Rampe","DU PONT","PONT"
"Impasse René Clair","Voie entière","4",0,0,,"mare à la veuve","Impasse","RENÉ CLAIR","RENÉ CLAIR"
"Rue René Domont","Voie entière","12",0,0,"0","remise à jorelle","Rue","RENÉ DOMONT","RENÉ DOMONT"
"Avenue de la République","Voie entière","61",1,0,,"orange","Avenue","DE LA RÉPUBLIQUE","RÉPUBLIQUE"
"Cours de la République","Voie entière","35",1,0,,"orange","Cours","DE LA RÉPUBLIQUE","RÉPUBLIQUE"
"Place de la République","Partiellement","5",0,2,,"orange","Place","DE LA RÉPUBLIQUE","RÉPUBLIQUE"
"Rue Roger Salengro","Voie entière","88",0,2,,"orange","Rue","ROGER SALENGRO","ROGER SALENGRO"
