"","NATURE","NOM","Longueur","NOMnumero","cadastre","usage","incoherence"
"1","ALL","POTTIER",158.454344529513,NA,"non",NA,NA
"2","ALL","ANNE FRANK",100.160828565087,NA,"non",NA,NA
"3","ALL","DES ERABLES",234.013409245679,NA,"oui","privé",NA
"4","RTE","DE VILLEMOMBLE",1511.78561857655,NA,"non",NA,NA
"5","R","ODETTE PAIN",214.779727162246,NA,"non",NA,NA
"6","R","GASTON DEFFERRE",349.070164160686,NA,"oui","privé",NA
"7","AV","ROUGET DE LISLE",147.123961338202,NA,"non",NA,NA
"8","ALL","DES RENONCULES",217.223662561781,NA,"oui","privé",NA
"9","R","EMMANUEL FAIRON",144.507321178869,NA,"non",NA,NA
"10","AV","PASTEUR",635.134156315602,NA,"non",NA,NA
"11","R","DU CHEMIN DE FEPROLONGEE",446.725833335091,NA,"non",NA,NA
"12","ALL","DE L'EGALITE",76.1189201185172,NA,"non",NA,NA
"13","SEN","RENE CHAR",76.2344688276368,NA,"non",NA,NA
"14","ALL","DE LA REGALE",126.608688485418,NA,"non",NA,NA
"15","R","NEUVE",97.8453580548048,NA,"oui","privé",NA
"16","R","DU MIDI",313.32714902937,NA,"non",NA,NA
"17","ALL","DE L'ETOILE",352.920785551873,NA,"non",NA,NA
"18","ALL","HANNAH ARENDT",189.28001840426,NA,"oui",NA,NA
"19","PL","ARTHURIMBAUD",68.3796916784951,NA,"non",NA,NA
"20","R","ROBERT BONNET",202.8811076799,NA,"non",NA,NA
"21","R","JEAN JAURES",481.430661382204,NA,"non",NA,NA
"22","ALL","DE LA DEVINIERE",62.5491495121503,NA,"oui","privé",NA
"23","PL","SCHOELCHER",86.2445695158986,NA,"non",NA,NA
"24","ALL","DES ROSES",75.0559176557954,NA,"oui","privé",NA
"25","MAIL","MARIE-MADELEINE FOURCADE",84.3710593549991,NA,"oui",NA,NA
"26","VLA","DES MARRONNIERS",70.9831414489632,NA,"oui","privé",NA
"27","R","MARCELLIN BERTHELOT",109.601146783051,NA,"non",NA,NA
"28","R","JULIE VICTOIRE DAUBIE",70.3004588921522,NA,"oui",NA,NA
"29","1","1",22.7477471417189,"ALL MIGNARD","oui","privé",NA
"30","ALL","DES LETTRES",198.444971127086,NA,"non",NA,NA
"31","R","DE LA LIBERTE",0.00613403534920302,NA,"non",NA,NA
"32","ALL","DES ORCHIDEES",216.762140882937,NA,"oui","privé",NA
"33","PL","EUDEMON",25.8654755931027,NA,"oui",NA,NA
"34","PL","CHARLES DE GAULLE",42.8123636145462,NA,"non",NA,NA
"35","ALL","DES IRIS",90.8796356055865,NA,"oui","privé",NA
"36","R","ROGESALENGRO",1111.47320796317,NA,"non",NA,NA
"37","R","RAOUL",241.252043826279,NA,"non",NA,NA
"38","ALL","DES COURTS SILLONS",199.342059515517,NA,"non",NA,NA
"39","ALL","DES ALOUETTES",134.287936911841,NA,"non",NA,NA
"40","R","DU CHALET",265.127098685904,NA,"non",NA,NA
"41","VLA","DU BRECHET",68.3730079963845,NA,"non","privé","incohérence"
"42","R","DE L'UNION",174.658732560772,NA,"oui",NA,NA
"43","CITE","DES SAULES",302.19999029742,NA,"oui",NA,NA
"44","PL","DES ECOLES",151.822769466752,NA,"oui",NA,NA
"45","R","DENYS COCHIN",281.528093859393,NA,"non",NA,NA
"46","R","NOEMIE",160.945487666041,NA,"non",NA,NA
"47","R","TRINQUAMELLE",191.525126090338,NA,"oui","privé",NA
"48","R","SAINTE-BARBE",121.430047359081,NA,"non",NA,NA
"49","ALL","DES PAQUERETTES",139.870839881989,NA,"oui","privé",NA
"50","R","MARTIN LUTHEKING",236.005677829531,NA,"oui","privé",NA
"51","R","HENRI DOUILLOT",397.391574874429,NA,"non",NA,NA
"52","CH","DE MONTREUIL A CLAYE",209.813299241707,NA,"non",NA,NA
"53","ALL","RULHIERE",172.575878894348,NA,"non",NA,NA
"54","VLA","CARNOT",142.457559767977,NA,"non",NA,NA
"55","R","DE VARSOVIE",404.162206854687,NA,"non",NA,NA
"56","R","GEORGES ELIE",351.727946798578,NA,"non",NA,NA
"57","VLA","MADELEINE",114.933894042985,NA,"non",NA,NA
"58","ALL","MOZART",97.7337198720854,NA,"oui",NA,NA
"59","ALL","DES TILLEULS",202.360822213864,NA,"non",NA,NA
"60","ALL","MARIA DERAIMES",113.147724565009,NA,"oui","privé",NA
"61","AV","DE LA VILLAGEOISE",425.209860362343,NA,"non",NA,NA
"62","RLE","SAINTE-BARBE",65.9824669232691,NA,"oui",NA,NA
"63","R","BAUDIN",658.144387455851,NA,"oui",NA,NA
"64","ALL","DES COQUELICOTS",160.721563809962,NA,"oui",NA,NA
"65","R","GERMAINE TILLION",139.709877961813,NA,"non",NA,NA
"66","ALL","DES FRENES",102.85180791521,NA,"oui","privé",NA
"67","R","DU PROFESSEUVAILLANT",258.188856981594,NA,"non",NA,NA
"68","R","DU BON AIR",151.903422090464,NA,"non",NA,NA
"69","CH","LATERAL",579.267047058034,NA,"non",NA,NA
"70","R","GARGANTUA",101.579759217228,NA,"oui",NA,NA
"71","AV","GALLIENI",3340.75451073101,NA,"non",NA,NA
"72","R","NADIA MURAD",190.128532213458,NA,"oui",NA,NA
"73","15","15",104.380258186614,"SEN PIERRE BOURDIEU","oui","privé",NA
"74","R","LOUIS LEON COLLIGNON",199.696145727487,NA,"non",NA,NA
"75","AV","DES SCIENCES",417.659676282444,NA,"non",NA,NA
"76","R","JEAN MONNET",470.711358819378,NA,"oui",NA,NA
"77","R","LUCIEN CHAPELAIN",641.944996518431,NA,"non",NA,NA
"78","R","DES ECOLES",187.76760674823,NA,"non",NA,NA
"79","AV","MARGUERITE",145.444559884887,NA,"non",NA,NA
"80","R","DE L'AVIATION",350.843415957342,NA,"non",NA,NA
"81","R","EMILE ZOLA",107.845160282064,NA,"non",NA,NA
"82","CH","DE LA MARE A LA VEUVE",310.388915521857,NA,"non",NA,NA
"83","AV","DES MESARMES",224.205718030586,NA,"oui",NA,NA
"84","ALL","MARYSE BASTIE",104.035351436395,NA,"oui","privé",NA
"85","ALL","BOILEAU",84.8387293630903,NA,"non",NA,NA
"86","IMP","RENE CLAIR",43.9143860793834,NA,"non",NA,NA
"87","ALL","DES ARTS",128.770338198925,NA,"non",NA,NA
"88","ALL","DES CHENES",124.59617984405,NA,"oui",NA,NA
"89","ALL","GABRIELLE",242.223875956619,NA,"oui","privé",NA
"90","R","DE TREMEUGE",272.84311415094,NA,"non",NA,NA
"91","PL","NICOLE NEUBURGER",950.415511020458,NA,"oui",NA,NA
"92","ALL","PAUL LAFARGUE",207.795279671877,NA,"oui",NA,NA
"93","R","DE PARIS",71.3199475076927,NA,"non",NA,NA
"94","R","BERANGER",292.741851726343,NA,"non",NA,NA
"95","ALL","DE LA FAUVETTE",175.743382522054,NA,"oui","privé",NA
"96","VLA","PARMENTIER",114.996739084233,NA,"non","privé","incohérence"
"97","PL","DES FLEURS",78.7579673194175,NA,"oui",NA,NA
"98","R","DE LA TERRE SAINT-BLAISE",357.262895251431,NA,"non",NA,NA
"99","R","sans nom",66.44316575553,NA,"oui","public",NA
"100","CRS","DE LA REPUBLIQUE",297.349005930269,NA,"non",NA,NA
"101","ALL","THERESE",345.19937771649,NA,"non",NA,NA
"102","ALL","LEON",149.589610383862,NA,"non",NA,NA
"103","ALL","DE LA VILLA JEANNETTE",141.401909463769,NA,"oui",NA,NA
"104","R","DES FRANCS AUBIERS",223.435479466428,NA,"oui","privé",NA
"105","2","2",58.6987441761418,"ALL EUGENE DELACROIX","oui","privé",NA
"106","ALL","DES BOULEAUX",131.710312837768,NA,"oui","privé",NA
"107","RTE","DE STAINS",207.047201033905,NA,"oui",NA,NA
"108","R","PAUL VAILLANT COUTURIER",410.76296503375,NA,"non",NA,NA
"109","VLA","FLEURY",161.698583450074,NA,"non",NA,NA
"110","R","MICHELET",393.976919508428,NA,"non",NA,NA
"111","AV","CARNOT",862.727134172276,NA,"non",NA,NA
"112","ALL","POQUE",103.944648731932,NA,"oui","privé",NA
"113","ALL","ALEXANDRE MARTHE",120.929731663023,NA,"oui","privé",NA
"114","AV","DE BELFORT",557.376209457365,NA,"non",NA,NA
"115","R","FREMIN",260.686361355426,NA,"non",NA,NA
"116","11","11",50.4239740912409,"ALL CONDORCET","oui","privé",NA
"117","VLA","DES ABEILLES",37.2446889262451,NA,"non",NA,NA
"118","ALL","MOLIERE",100.026623243941,NA,"non",NA,NA
"119","R","BERNARD DE JUSSIEU",247.496592962171,NA,"non",NA,NA
"120","ALL","MARCEL SEMBAT",319.810205385996,NA,"non",NA,NA
"121","R","DE LA PHILOSOPHIE",204.985006656173,NA,"non",NA,NA
"122","PAS","MICHELET",101.587794542295,NA,"oui","privé",NA
