organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
SCI FONCIERE Dl 01/2005,93/2005/2002-846/048,,,RUE,RENÉ DUMONT,RENÉ DUMONT,L,91,bondy,93140,Rue René Dumont 93140 Bondy,0.96,48.894642,2.487787,Rue René Dumont 93140 Bondy,0.96,street,93010_8154,,Rue René Dumont,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
CDC HABITAT SOCIAL,93/1984/79-444/004,2,2,RUE,"ROBERT DOUVILLEZ 
VILLA DES CERISES",ROBERT DOUVILLEZ,L,23,bondy,93140,2 Rue Robert Douvillez 93140 Bondy,0.65,48.907255,2.4936,2 Rue Robert Douvillez 93140 Bondy,0.97,housenumber,93010_8170_00002,2,Rue Robert Douvillez,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
PRIVÉ,93/1980/78-1307/050,26,26,RUE,ROGER SALENGRO,ROGER SALENGRO,L,1,bondy,93140,26 Rue Roger Salengro 93140 Bondy,0.98,48.902267,2.479393,26 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00026,26,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
SEQENS,93/2013/2011-1191/137,4,4,RUE,ROGER SALENGRO,ROGER SALENGRO,L,1,bondy,93140,4 Rue Roger Salengro 93140 Bondy,0.98,48.902989,2.47979,4 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00004,4,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
SEQENS,93/2013/2011-1191/138,4,4,RUE,ROGER SALENGRO,ROGER SALENGRO,L,3,bondy,93140,4 Rue Roger Salengro 93140 Bondy,0.98,48.902989,2.47979,4 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00004,4,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/201812011-1191/095,34bis -34ter,34,RUE,ROGER SALENGRO,ROGER SALENGRO,L,4,bondy,93140,34ter Rue Roger Salengro 93140 Bondy,0.84,48.901896,2.479192,34 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00034,34,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2018/2011-1191/094,34bis -34ter,34,RUE,ROGER SALENGRO,ROGER SALENGRO,L,16,bondy,93140,34ter Rue Roger Salengro 93140 Bondy,0.84,48.901896,2.479192,34 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00034,34,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ESPACE HABITAT CONSTRUCTION,93/1989/85-1231/071,107,107,RUE,ROGER SALENGRO,ROGER SALENGRO,L,45,bondy,93140,107 Rue Roger Salengro 93140 Bondy,0.98,48.895012,2.477273,107 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00107,107,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1990/85-1231/058,156 à 164,160,RUE,ROGER SALENGRO,ROGER SALENGRO,L,48,bondy,93140,164 Rue Roger Salengro 93140 Bondy,0.84,48.895205,2.476702,160 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00160,160,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ANTIN RESIDENCES,93/1993/85-1231/123,20-22,22,RUE,ROGER SALENGRO,ROGER SALENGRO,L,56,bondy,93140,22 Rue Roger Salengro 93140 Bondy,0.9,48.902411,2.479472,22 Rue Roger Salengro 93140 Bondy,0.98,housenumber,93010_8172_00022,22,Rue Roger Salengro,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2010/2002-844/098,7,7,RUE,SIMONE DE B.EAUVOIR,SIMONE DE BEAUVOIR,L,23,bondy,93140,7 Rue Simone de Beauvoir 93140 Bondy,0.89,48.896077,2.486864,7 Rue Simone de Beauvoir 93140 Bondy,0.96,housenumber,93010_8528_00007,7,Rue Simone de Beauvoir,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
SEINE-SAINT-DENIS HABITAT,93/2007/2002-844/054,1-27,15,AVENUE,SUZANNE BUISSON,SUZANNE BUISSON,L,26,bondy,93140,27 Avenue Suzanne Buisson 93140 Bondy,0.92,48.914697,2.481329,15 Avenue Suzanne Buisson 93140 Bondy,0.97,housenumber,93010_8880_00015,15,Avenue Suzanne Buisson,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1999/85-1231/074,"1 à 27
et 2 à 34",27,AVENUE,SUZANNE BUISSON,SUZANNE BUISSON,L,200,bondy,93140,34 Avenue Suzanne Buisson 93140 Bondy,0.71,48.914322,2.483045,27 Avenue Suzanne Buisson 93140 Bondy,0.97,housenumber,93010_8880_00027,27,Avenue Suzanne Buisson,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/167,30-30bis,30,AVENUE,VARAGNAT,VARAGNAT,L,2,bondy,93140,30bis Avenue Henri Varagnat 93140 Bondy,0.77,48.914759,2.484347,30 Avenue Henri Varagnat 93140 Bondy,0.81,housenumber,93010_4449_00030,30,Avenue Henri Varagnat,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/168,30-30bis,30,AVENUE,VARAGNAT,VARAGNAT,L,8,bondy,93140,30bis Avenue Henri Varagnat 93140 Bondy,0.77,48.914759,2.484347,30 Avenue Henri Varagnat 93140 Bondy,0.81,housenumber,93010_4449_00030,30,Avenue Henri Varagnat,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/166,30-30bis,30,AVENUE,VARAGNAT,VARAGNAT,L,28,bondy,93140,30bis Avenue Henri Varagnat 93140 Bondy,0.77,48.914759,2.484347,30 Avenue Henri Varagnat 93140 Bondy,0.81,housenumber,93010_4449_00030,30,Avenue Henri Varagnat,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
