organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
ICF LA SABLIERE,93/2018/2011-1191/085,6/8/10/12,8,RUE,DE LA LIBERTE,DE LA LIBERTE,L,10,bondy,93140,12 Rue de la Liberté 93140 Bondy,0.8,48.894709,2.479459,8 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00008,8,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
LOGIREP,93/2017/2011-1191/022,9,9,RUE,DE LA LIBERTE,DE LA LIBERTE,L,16,bondy,93140,9 Rue de la Liberté 93140 Bondy,0.97,48.895133,2.478441,9 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00009,9,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
LOGIREP,93/2017/2011-1191/024,9,9,RUE,DE LA LIBERTE,DE LA LIBERTE,L,18,bondy,93140,9 Rue de la Liberté 93140 Bondy,0.97,48.895133,2.478441,9 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00009,9,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ICF LA SABLIERE,93/2018/2011-1191/083,6/8/10/12,10,RUE,DE LA LIBERTE,DE LA LIBERTE,L,21,bondy,93140,12 Rue de la Liberté 93140 Bondy,0.8,48.894652,2.480243,10 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00010,10,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2010/2002-844/097,29,29,ALLEE,DE LA PAIX,DE LA PAIX,L,30,bondy,93140,29 Allée de la Paix 93140 Bondy,0.97,48.89599,2.490932,29 Allée de la Paix 93140 Bondy,0.97,housenumber,93010_7110_00029,29,Allée de la Paix,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/1988/AC/086,"1/3/5
1 à 7 (imp.) 1/3/5/13 
2/24 (pairs)
1/17 (imp.)
1/9 (imp.)",3,"ALLEE 
RUE 
RUE 
RUE
AVENUE 
RUE","DE LA PASSE AUX DAIMS 
DE LA TERRE SAINT BLAISE
 DES ESCHOLIERS
DES FRANCS AUBIERS 
LEON JOUHAUX
RABELAIS",DE LA PASSE AUX DAIMS,L,393,bondy,93140,Avenue Leon Jouhaux 93140 Bondy,0.2,48.897424,2.491985,3 Allée de la Paix 93140 Bondy,0.46,housenumber,93010_7110_00003,3,Allée de la Paix,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2018/2011-1191/163,35,35,COURS,DE LA REPUBLIQUE,DE LA REPUBLIQUE,L,11,bondy,93140,35 Cours de la République 93140 Bondy,0.97,48.901139,2.479904,35 Cours de la République 93140 Bondy,0.97,housenumber,93010_8159_00035,35,Cours de la République,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BATIGERE EN IDF,93/1993/85-1231/086,20,20,AVENUE,DE LA REPUBLIQUE,DE LA REPUBLIQUE,L,20,bondy,93140,20 Avenue de la République 93140 Bondy,0.97,48.90011,2.479341,20 Avenue de la République 93140 Bondy,0.97,housenumber,93010_8160_00020,20,Avenue de la République,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2018/2011-1191/030,10,10,RUE,DE LA TERRE SAINT BLAISE,DE LA TERRE SAINT BLAISE,L,7,bondy,93140,10 Rue de la Terre Saint-Blaise 93140 Bondy,0.96,48.915813,2.484012,10 Rue de la Terre Saint-Blaise 93140 Bondy,0.96,housenumber,93010_9100_00010,10,Rue de la Terre Saint-Blaise,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/170,56,56,AVENUE,DE LATTRE DE TASSIGNY,DE LATTRE DE TASSIGNY,L,6,bondy,93140,56 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,48.903355,2.483057,56 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,housenumber,93010_6155_00056,56,Av du Mal de Lattre de Tassigny,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/169,56,56,AVENUE,DE LATTRE DE TASSIGNY,DE LATTRE DE TASSIGNY,L,24,bondy,93140,56 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,48.903355,2.483057,56 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,housenumber,93010_6155_00056,56,Av du Mal de Lattre de Tassigny,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
