"";"code";"contenance";"adresse";"nom";"categorie";"dsiren"
"78";" P0170";37;"31 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"79";" P0190";4498;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"80";" P0190";4498;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"81";" P0169";34;"31 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"82";" P0169";34;"31 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"83";" P0165";478;"93 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"84";" P0165";478;"93 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"85";" P0087";144;"29 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"86";" P0087";144;"29 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"87";" P0194";4358;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"88";" P0194";4358;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"89";" P0195";137;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"90";" P0195";137;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"91";" P0184";408;"2 AV PASTEUR";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"92";" P0184";408;"2 AV PASTEUR";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"93";" I0083";44;"13 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"94";" I0083";44;"13 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"95";" O0077";3275;"44 AV PASTEUR";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"96";" O0077";3275;"44 AV PASTEUR";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"97";" O0078";1484;"44 AV PASTEUR";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"98";" O0078";1484;"44 AV PASTEUR";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"99";" P0174";4;"33 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"100";" P0174";4;"33 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"101";" P0178";349;"33 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"102";" P0178";349;"33 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"103";" P0202";408;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"104";" P0202";408;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"105";" P0006";56;"93 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"106";" P0006";56;"93 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"107";" P0166";119;"93 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"108";" P0166";119;"93 RUE JULES GUESDE";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"109";" P0093";230;"116 AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"110";" P0093";230;"116 AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"111";" P0088";1;"23 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"112";" P0088";1;"23 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"113";" P0177";1;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"114";" P0177";1;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"115";" P0188";12;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"116";" P0188";12;"AV GALLIENI";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"117";" P0168";220;"31 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"118";" P0168";220;"31 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"119";" P0175";2;"33 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"9";"279300032"
"120";" P0175";2;"33 RUE AUGUSTE POLISSARD";"BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE";"5";"279300032"
"121";" I0078";3136;"56 AV GALLIENI";"BPCE LEASE IMMO";"0";"333384311"
"122";" I0076";9;"56 AV GALLIENI";"BPCE LEASE IMMO";"0";"333384311"
"123";" N0014";1073;"31 AV PASTEUR";"CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MOD";"5";"552046484"
"124";" O0081";2667;"25 AV PASTEUR";"CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MOD";"5";"552046484"
"125";" O0074";3310;"AV GALLIENI";"CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MOD";"5";"552046484"
"126";" L0133";1890;"209 AV GALLIENI";"CERTAS ENERGY FRANCE";"0";"808636849"
"127";" P0080";2752;"110 AV GALLIENI";"CERTAS ENERGY FRANCE";"0";"808636849"
"128";" I0086";1428;"27 RUE JULES GUESDE";"CLAYES INVEST";"0";"399068881"
"129";" I0099";962;"29 RUE JULES GUESDE";"COMMUNE DE BONDY";"4";"219300100"
"130";" L0049";3600;"CHE DU PONT";"COMMUNE DE BONDY";"4";"219300100"
"131";" P0156";258;"RUE AUGUSTE POLISSARD";"COMMUNE DE BONDY";"4";"219300100"
"132";" N0034";52370;"77 AV HENRI BARBUSSE";"COMMUNE DE BONDY";"4";"219300100"
"133";" J0211";216;"2 IMP FERNAND POTTIER";"COMMUNE DE BONDY";"4";"219300100"
"134";" J0057";150;"3 VLA FLEURY";"COMMUNE DE BONDY";"4";"219300100"
"135";" J0058";267;"80 AV GALLIENI";"COMMUNE DE BONDY";"4";"219300100"
"136";" L0141";152;"CHE DU PONT";"COMMUNE DE BONDY";"4";"219300100"
"137";" J0209";36;"2 IMP FERNAND POTTIER";"COMMUNE DE BONDY";"4";"219300100"
"138";" L0058";200;"CHE DU PONT";"COMMUNE DE BONDY";"4";"219300100"
"139";" Q0002";4481;"8 AV PASTEUR";"COMMUNE DE BONDY";"4";"219300100"
"140";" J0275";1096;"69 RUE JULES GUESDE";"COMMUNE DE BONDY";"4";"219300100"
"141";" J0212";8;"VLA FLEURY";"COMMUNE DE BONDY";"4";"219300100"
"142";" I0067";215;"31 AV GALLIENI";"COMMUNE DE BONDY";"4";"219300100"
"143";" I0064";213;"27 AV GALLIENI";"COMMUNE DE BONDY";"4";"219300100"
"144";" L0045";14077;"6 RUE DES ECOLES";"COMMUNE DE BONDY";"4";"219300100"
"145";" J0243";112;"30 VLA FLEURY";"COMMUNE DE BONDY";"4";"219300100"
"146";" L0044";73;"RUE DES ECOLES";"COMMUNE DE BONDY";"4";"219300100"
"147";" I0097";204;"29 RUE JULES GUESDE";"COMMUNE DE BONDY";"4";"219300100"
"148";" J0179";1740;"95 AV GALLIENI";"COMMUNE DE BONDY";"4";"219300100"
"149";" M0126";13918;"31 RUE GEORGES ELIE";"COMMUNE DE BONDY";"4";"219300100"
"150";"AD0149";12;"PL DE LA DIVISION LECLERC";"COMMUNE DE BONDY";"4";"219300100"
"151";" J0249";4;"VLA BELLEVUE";"COMMUNE DE BONDY";"4";"219300100"
"152";" I0063";52;"25 AV GALLIENI";"COMMUNE DE BONDY";"4";"219300100"
"153";" J0210";275;"82 AV GALLIENI";"COMMUNE DE BONDY";"4";"219300100"
"154";" J0241";127;"32 VLA FLEURY";"COMMUNE DE BONDY";"4";"219300100"
"155";"AD0150";13;"PL DE LA DIVISION LECLERC";"COMMUNE DE BONDY";"4";"219300100"
"156";" P0133";193;"RUE JULES GUESDE";"COMMUNE DE BONDY";"4";"219300100"
"157";" J0301";4323;"93 AV GALLIENI";"CONFORAMA DEVELOPPEMENT 12";"0";"830008397"
"158";" J0299";2905;"63 AV GALLIENI";"CONFORAMA DEVELOPPEMENT 12";"0";"830008397"
"159";" I0081";3657;"53 AV GALLIENI";"CONFORAMA FRANCE";"0";"414819409"
