"";"code";"contenance";"adresse";"nom";"categorie";"dsiren"
"219";" P0028";183;"3 RUE AUGUSTE POLISSARD";"IMMO EVOLUTIF";"0";"449134857"
"220";" O0035";513;"142 AV GALLIENI";"IMMOBILIERE 3F";"5";"552141533"
"221";" O0036";562;"144 AV GALLIENI";"IMMOBILIERE 3F";"5";"552141533"
"222";" F0181";2297;"38 RUE FONTAINE";"IMMOBILIERE 3F";"5";"552141533"
"223";" J0303";205;"49 RUE JULES GUESDE";"IMMOBILIERE 3F";"5";"552141533"
"224";" J0305";206;"51 RUE JULES GUESDE";"IMMOBILIERE 3F";"5";"552141533"
"225";" O0030";598;"132 AV GALLIENI";"IMMOBILIERE 3F";"5";"552141533"
"226";" O0034";317;"140 AV GALLIENI";"IMMOBILIERE 3F";"5";"552141533"
"227";" J0309";206;"53 RUE JULES GUESDE";"IMMOBILIERE 3F";"5";"552141533"
"228";" F0114";646;"38 RUE FONTAINE";"IMMOBILIERE 3F";"5";"552141533"
"229";NA;NA;NA;"inconnu";NA;NA
"230";" J0320";214;"25 VLA FLEURY";"KONUK";"0";"519454862"
"231";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U19158304"
"232";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08679235"
"233";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U14541819"
"234";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08543860"
"235";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08677759"
"236";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U16381256"
"237";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U30092514"
"238";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08537243"
"239";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U14485540"
"240";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08541377"
"241";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08540304"
"242";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08663494"
"243";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08675167"
"244";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U19004097"
"245";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08677486"
"246";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U29803605"
"247";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U29931101"
"248";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08675365"
"249";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08675019"
"250";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08675951"
"251";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08675316"
"252";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08677502"
"253";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U14282705"
"254";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08675423"
"255";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U20635582"
"256";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08539488"
"257";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08679078"
"258";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08542599"
"259";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U17902245"
"260";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U19212282"
"261";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08666570"
"262";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U19695466"
"263";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U15541898"
"264";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U29230724"
"265";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08673956"
"266";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U29274491"
"267";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08538035"
"268";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08542110"
"269";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08545246"
"270";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08545436"
"271";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08542326"
"272";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08540379"
"273";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U29914567"
"274";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08540411"
"275";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08542698"
"276";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U09108397"
"277";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U18042565"
"278";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U09085571"
"279";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08543753"
"280";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U18861796"
"281";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U15957074"
"282";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08670838"
"283";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U17887627"
"284";" M0026";482;"210 AV GALLIENI";"LES COPROPRIETAIRES";"7";"U08676314"
