"","NOM","NATURE","NOM2","raccourci"
"73","ALL PAIX","ALL","PAIX","Saule"
"74","ALL PAQUERETTES","ALL","PAQUERETTES","Mainguy"
"75","ALL PAUL LAFARGUE","ALL","PAUL LAFARGUE","MVeuve"
"76","ALL PENSEES","ALL","PENSEES","Mainguy"
"77","ALL PINSONS","ALL","PINSONS","MVeuve"
"78","ALL POQUE","ALL","POQUE","MVeuve"
"79","ALL POTTIER","ALL","POTTIER","Saule"
"80","ALL PRIMEVERES","ALL","PRIMEVERES","Saule"
"81","ALL RACINE","ALL","RACINE","Saule"
"82","ALL RAPHAEL","ALL","RAPHAEL","MVeuve Saule"
"83","ALL RASPAIL","ALL","RASPAIL","Saule"
"84","ALL REGALE","ALL","REGALE","Saule"
"85","ALL RENDEZ VOUS","ALL","RENDEZ VOUS","Saule"
"86","ALL RENONCULES","ALL","RENONCULES","Saule"
"87","ALL ROSES","ALL","ROSES","NC-TSB"
"88","ALL RULHIERE","ALL","RULHIERE","Mainguy"
"89","ALL SAN MARTIN","ALL","SAN MARTIN","Merisiers"
"90","ALL SIMON BOLIVAR","ALL","SIMON BOLIVAR","Merisiers"
"91","ALL SORBIERS","ALL","SORBIERS","NC-TSB"
"92","ALL SURCOUF","ALL","SURCOUF","MVeuve Mainguy"
"93","ALL SYCOMORES","ALL","SYCOMORES","NC-TSB"
"94","ALL SYLPHES","ALL","SYLPHES","Saule"
"95","ALL THERESE","ALL","THERESE","Saule"
"96","ALL TILLEULS","ALL","TILLEULS","MVeuve"
"97","ALL TULIPES","ALL","TULIPES","NC-TSB"
"98","ALL VICTOR HUGO","ALL","VICTOR HUGO","MVeuve"
"99","ALL VIGNES","ALL","VIGNES","NC-TSB"
"100","ALL VILLA JEANNETTE","ALL","VILLA JEANNETTE","Saule"
"101","ALL VOLTAIRE","ALL","VOLTAIRE","Saule"
"102","ALL WATTEAU","ALL","WATTEAU","MVeuve"
"103","AV ALBERT THOMAS","AV","ALBERT THOMAS","Saule"
"104","AV ANATOLE FRANCE","AV","ANATOLE FRANCE","MVeuve"
"105","AV BELFORT","AV","BELFORT","MVeuve"
"106","AV BLERIOT","AV","BLERIOT","Saule"
"107","AV CADERAS","AV","CADERAS","MVeuve Saule"
"108","AV CARNOT","AV","CARNOT","MVeuve Mainguy Saule"
"109","AV CLARA GRANDET","AV","CLARA GRANDET","Merisiers"
"110","AV DENISE","AV","DENISE","MVeuve Saule"
"111","AV DUMESNIL","AV","DUMESNIL","Saule"
"112","AV ESPERANCE","AV","ESPERANCE","Saule"
"113","AV EST","AV","EST","MVeuve"
"114","AV GALLIENI","AV","GALLIENI","Mainguy Saule Merisiers NC-TSB"
"115","AV GENEVIEVE ANTHONIOZ DE GAULLE","AV","GENEVIEVE ANTHONIOZ DE GAULLE","MVeuve"
"116","AV GUEUGNON","AV","GUEUGNON","Merisiers"
"117","AV HENRI BARBUSSE","AV","HENRI BARBUSSE","Saule"
"118","AV HENRI VARAGNAT","AV","HENRI VARAGNAT","Merisiers NC-TSB"
"119","AV IDEAL","AV","IDEAL","Saule"
"120","AV JEAN LEBAS","AV","JEAN LEBAS","NC-TSB"
"121","AV JEAN MOULIN","AV","JEAN MOULIN","NC-TSB"
"122","AV JULES FERRY","AV","JULES FERRY","MVeuve Mainguy"
"123","AV LEON BLUM","AV","LEON BLUM","NC-TSB"
"124","AV LEON JOUHAUX","AV","LEON JOUHAUX","Merisiers NC-TSB"
"125","AV MAL DE LATTRE DE TASSIGNY","AV","MAL DE LATTRE DE TASSIGNY","Mainguy Saule Merisiers"
"126","AV MARGUERITE","AV","MARGUERITE","Merisiers"
"127","AV MARIE CURIE","AV","MARIE CURIE","MVeuve Saule"
"128","AV MARX DORMOY","AV","MARX DORMOY","Merisiers NC-TSB"
"129","AV MAURICE BENHAMOU","AV","MAURICE BENHAMOU","Merisiers NC-TSB"
"130","AV MESARMES","AV","MESARMES","Merisiers"
"131","AV METZ","AV","METZ","MVeuve"
"132","AV NANCY","AV","NANCY","MVeuve"
"133","AV PARISIENNE","AV","PARISIENNE","Merisiers"
"134","AV PASTEUR","AV","PASTEUR","Mainguy Saule Merisiers"
"135","AV PLATANES","AV","PLATANES","MVeuve"
"136","AV QUATORZE JUILLET","AV","QUATORZE JUILLET","Merisiers"
"137","AV REPUBLIQUE","AV","REPUBLIQUE","MVeuve Mainguy"
"138","AV ROSNY","AV","ROSNY","Mainguy"
"139","AV ROUGET DE LISLE","AV","ROUGET DE LISLE","Saule"
"140","AV SCIENCES","AV","SCIENCES","MVeuve"
