"","X","Rue","Peri","rueCourte","rue","ecoles"
"18",29,"BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cété pair et tout le cote impair","BAUDELAIRE","RUE BAUDELAIRE","Olympe de Gouges Tout le cété pair et tout le cote impair"
"19",30,"BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cété pair et tout le cété impair","BAUDELAIRE","RUE BAUDELAIRE"," Olympe de Gouges Tout le cété pair et tout le cété impair"
"20",32,"BAUDIN RUE BAUDIN","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair","BAUDIN","RUE BAUDIN"," R.Salengro J.Béthinger Tout le cété pair et tout le cote impair"
"21",33,"BAUDIN RUE BAUDIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","BAUDIN","RUE BAUDIN","Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"22",35,"BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair /","BEAUREGARD","RUE BEAUREGARD . "," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair /"
"23",36,"BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdtée impair","BEAUREGARD","RUE BEAUREGARD . ","Alain Savary Roger Salengr Tout le cété pair et tout le cdtée impair"
"24",38,"BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair V","BEAUVOIR","RUE SIMONE DE BEAUVOIR","Jules Ferry Tout le cété pair et tout le cété impair V"
"25",39,"BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","BEAUVOIR","RUE SIMONE DE BEAUVOIR"," Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"26",41,"BECQUEREL ALLEE BECQUEREL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","BECQUEREL","ALLEE BECQUEREL","Pierre Curie Tout le cété pair et tout le cdté impair"
"27",42,"BECQUEREL ALLEE BECQUEREL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","BECQUEREL","ALLEE BECQUEREL"," Pierre Curie Tout le cété pair et tout le cété impair"
"30",48,"BELFORT AVENUE DE BELFORT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","BELFORT","AVENUE DE BELFORT"," Pierre Curie Tout le cété pair et tout le cété impair"
"31",49,"BELFORT AVENUE DE BELFORT","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","BELFORT","AVENUE DE BELFORT","Pierre Curie Tout le cété pair et tout le cdté impair"
"32",56,"FREMIN RUE FREMIN","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","FREMIN","RUE FREMIN","Mainguy Tout le cété pair et tout le cété impair"
"33",57,"FREMIN RUE FREMIN","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cdté impair","FREMIN","RUE FREMIN"," Mainguy/Guehenno Tout le cété pair et tout le cdté impair"
"34",59,"FRENES ALLEE DES FRENES","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","FRENES","ALLEE DES FRENES","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"35",60,"FRENES ALLEE DES FRENES","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","FRENES","ALLEE DES FRENES","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"36",62,"FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair \ |","FURCI","ALLEE DE FURCI ‘","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair \ |"
"37",63,"FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair )","FURCI","ALLEE DE FURCI ‘"," R.Salengro J.Béthinger Tout le cété pair et tout le cote impair )"
"38",65,"GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","GABRIELLE","ALLEE GABRIELLE"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"39",66,"GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","GABRIELLE","ALLEE GABRIELLE","Jules Ferry Tout le cété pair et tout le cété impair"
"40",70,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmétre Elémentaire Mainguy/Guehenno y, Cété pair allant des n° 2 4 102 et cdté impair sans les n° |","GALLIENI","AVENUE GALLIENI ;"," Mainguy/Guehenno y, Cété pair allant des n° 2 4 102 et cdté impair sans les n° |"
"41",71,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmetre Elémentaire Léo Lagrange ‘, Cété pair allant des n° 104 a 998 et cété impair sans lesn®* ~>","GALLIENI","AVENUE GALLIENI ;"," Léo Lagrange ‘, Cété pair allant des n° 104 a 998 et cété impair sans lesn®* ~>"
"42",72,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmetre Maternelle Léo Lagrange } Cété pair allant des n° 104 a 998 et coté impair sans les n° |","GALLIENI","AVENUE GALLIENI ;","Léo Lagrange } Cété pair allant des n° 104 a 998 et coté impair sans les n° |"
"43",73,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmétre Elémentaire Louis Pasteur “ Cété pair sans les n° et cdté impair allant des n° 107 4211 »","GALLIENI","AVENUE GALLIENI ;"," Louis Pasteur “ Cété pair sans les n° et cdté impair allant des n° 107 4211 »"
"44",74,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmetre Maternelle Pasteur , Cété pair sans les n° et coté impair allant des n° 107 a 211 E","GALLIENI","AVENUE GALLIENI ;","Pasteur , Cété pair sans les n° et coté impair allant des n° 107 a 211 E"
"45",76,"GARGANTUA RUE GARGANTUA","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","GARGANTUA","RUE GARGANTUA","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"46",77,"GARGANTUA RUE GARGANTUA","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","GARGANTUA","RUE GARGANTUA","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"47",83,"GAUGUIN PLACE PAUL GAUGUIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","GAUGUIN","PLACE PAUL GAUGUIN","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"48",84,"GAUGUIN PLACE PAUL GAUGUIN","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","GAUGUIN","PLACE PAUL GAUGUIN"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"49",87,"GAZELLES RUE DES GAZELLES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","GAZELLES","RUE DES GAZELLES","Léo Lagrange Tout le cété pair et tout le cété impair"
"50",89,"GLAIEULS ALLEE DES GLAIEULS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cdté impair","GLAIEULS","ALLEE DES GLAIEULS","Jean Zay Tout le cété pair et tout le cdté impair"
"51",90,"GLAIEULS ALLEE DES GLAIEULS","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","GLAIEULS","ALLEE DES GLAIEULS"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"52",92,"GLYCINES ALLEE DES GLYCINES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","GLYCINES","ALLEE DES GLYCINES","Jean Zay Tout le cété pair et tout le cété impair"
"53",93,"GLYCINES ALLEE DES GLYCINES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","GLYCINES","ALLEE DES GLYCINES"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"54",95,"GOUNOD ALLEE CHARLES GOUNOD","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","GOUNOD","ALLEE CHARLES GOUNOD"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"55",96,"GOUNOD ALLEE CHARLES GOUNOD","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le coté impair","GOUNOD","ALLEE CHARLES GOUNOD","Alain Savary Roger Salengr: Tout le cété pair et tout le coté impair"
"56",98,"GOYA _ ALLEE FRANCISCO GOYA","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cote impair","GOYA","_ ALLEE FRANCISCO GOYA","Alain Savary Roger Salengr: Tout le cété pair et tout le cote impair"
"57",101,"GRAFF RUE GEORGES GRAFF","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","GRAFF","RUE GEORGES GRAFF"," Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"58",102,"GRAFF RUE GEORGES GRAFF","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","GRAFF","RUE GEORGES GRAFF","Henri Sellier Tout le cété pair et tout le cété impair"
"59",108,"GRANDET AVENUE CLARA GRANDET » 7","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair \","GRANDET","AVENUE CLARA GRANDET » 7"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair \"
"60",111,"GRANDGOUSIER RUE GRANDGOUSIER","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","GRANDGOUSIER","RUE GRANDGOUSIER","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"61",112,"GRANDGOUSIER RUE GRANDGOUSIER","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair","GRANDGOUSIER","RUE GRANDGOUSIER","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair"
"62",114,"GROS BUISSSON ALLEE DU GROS BUISSSON","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cdté pair et tout le cété impair","GROS","BUISSSON ALLEE DU GROS BUISSSON"," Pierre Curie Tout le cdté pair et tout le cété impair"
"63",117,"GROSLAY CHEMIN DE GROSLAY YL ,","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et cété impair sans les n° V/","GROSLAY","CHEMIN DE GROSLAY YL ,"," Noue Caillet Albert Camus Tout le cété pair et cété impair sans les n° V/"
"64",118,"GROSLAY CHEMIN DE GROSLAY YL ,","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et cdté impair sans les n° .","GROSLAY","CHEMIN DE GROSLAY YL ,","Jean Zay Tout le cété pair et cdté impair sans les n° ."
"65",121,"GROUSSIER RUE ARTHUR GROUSSIER _","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et cdté impair allant des nS a 999 ,","GROUSSIER","RUE ARTHUR GROUSSIER _"," Louis Pasteur Tout le cété pair et cdté impair allant des nS a 999 ,"
"66",122,"GROUSSIER RUE ARTHUR GROUSSIER _","Périmétre : Périmetre Maternelle Jean Zay Cété pair sans les n° et cdté impair allant des n° 1a3 f","GROUSSIER","RUE ARTHUR GROUSSIER _","Jean Zay Cété pair sans les n° et cdté impair allant des n° 1a3 f"
"67",123,"GROUSSIER RUE ARTHUR GROUSSIER _","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cété pair sans les n° et coté impair allant des n° 1a 3 #,","GROUSSIER","RUE ARTHUR GROUSSIER _"," Noue Caillet Albert Camus Cété pair sans les n° et coté impair allant des n° 1a 3 #,"
"68",128,"GUESDE RUE JULES GUESDE /","Périmétre : Périmeétre Elementaire Mainguy/Guehenno | Tout le cété pair et tout le cété impair ;","GUESDE","RUE JULES GUESDE "," Mainguy/Guehenno | Tout le cété pair et tout le cété impair ;"
"69",130,"GUEUGNON AVENUE GUEUGNON F","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cote impair wy","GUEUGNON","AVENUE GUEUGNON F"," Noue Caillet Albert Camus Tout le cété pair et tout le cote impair wy"
"70",131,"GUEUGNON AVENUE GUEUGNON F","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair .","GUEUGNON","AVENUE GUEUGNON F","Jean Zay Tout le cété pair et tout le cété impair ."
"71",134,"GUYARD RUE AMEDEE GUYARD","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","GUYARD","RUE AMEDEE GUYARD","Léo Lagrange Tout le cété pair et tout le cété impair"
"72",136,"HARENDT ALLEE HANNAH HARENDT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","HARENDT","ALLEE HANNAH HARENDT"," Léo Lagrange Tout le cété pair et tout le cété impair"
"73",139,"HAYDN IMPASSE HAYDN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","HAYDN","IMPASSE HAYDN"," Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"74",142,"HETRES ALLEE DES HETRES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","HETRES","ALLEE DES HETRES","Pierre Curie Tout le cété pair et tout le cété impair"
"75",144,"HORTENSIAS ALLEE DES HORTENSIAS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","HORTENSIAS","ALLEE DES HORTENSIAS"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"76",145,"HORTENSIAS ALLEE DES HORTENSIAS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","HORTENSIAS","ALLEE DES HORTENSIAS","Jean Zay Tout le cété pair et tout le cété impair"
"77",147,"HUGO ALLEE VICTOR HUGO","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le c6té impair","HUGO","ALLEE VICTOR HUGO","Jules Ferry Tout le cété pair et tout le c6té impair"
"80",151,"HUIT MAI 1945 SQUARE DU HUIT MAI 1945","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cdté impair","HUIT","MAI 1945 SQUARE DU HUIT MAI 1945","Camille Claudel Tout le cété pair et tout le cdté impair"
"81",152,"HUIT MAI 1945 SQUARE DU HUIT MAI 1945","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","HUIT","MAI 1945 SQUARE DU HUIT MAI 1945"," Camille Claudel Tout le cété pair et tout le cété impair"
"82",154,"IDEAL AVENUE DE L'IDEAL","Périmétre : Périmetre Maternelle Henri Sellier Tout le cdté pair et tout le cété impair","IDEAL","AVENUE DE L'IDEAL","Henri Sellier Tout le cdté pair et tout le cété impair"
"83",162,"IDEAL AVENUE DE L'IDEAL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","IDEAL","AVENUE DE L'IDEAL"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"84",167,"INGRES ALLEE INGRES","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cdté impair","INGRES","ALLEE INGRES","Alain Savary Roger Salengr« Tout le cété pair et tout le cdté impair"
"85",170,"IRIS ALLEE DES IRIS","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","IRIS","ALLEE DES IRIS"," Camille Claudel Tout le cété pair et tout le cété impair"
"86",175,"JARDINIERE IMPASSE DE LA JARDINIERE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cdté impair","JARDINIERE","IMPASSE DE LA JARDINIERE","Pasteur Tout le cété pair et tout le cdté impair"
"87",177,"JARDINIERE IMPASSE DE LA JARDINIERE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cdté pair et tout le cété impair","JARDINIERE","IMPASSE DE LA JARDINIERE"," Louis Pasteur Tout le cdté pair et tout le cété impair"
"88",180,"JARDINIERE ALLEE DE LA JARDINIERE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair , /","JARDINIERE","ALLEE DE LA JARDINIERE"," Louis Pasteur Tout le cété pair et tout le coté impair , /"
"89",182,"JARDINIERE ALLEE DE LA JARDINIERE","Périmétre : Périmetre Maternelle Pasteur Tout le cdté pair et tout le c6té impair V","JARDINIERE","ALLEE DE LA JARDINIERE","Pasteur Tout le cdté pair et tout le c6té impair V"
"90",185,"JAURES RUE JEAN JAURES","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le coté impair","JAURES","RUE JEAN JAURES"," Mainguy/Guehenno Tout le cété pair et tout le coté impair"
"91",187,"JAURES RUE JEAN JAURES","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","JAURES","RUE JEAN JAURES","Mainguy Tout le cété pair et tout le cété impair"
"92",190,"JEANNETTE ALLEE DE LAVILLA JEANNETTE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","JEANNETTE","ALLEE DE LAVILLA JEANNETTE"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"93",192,"JEANNETTE ALLEE DE LAVILLA JEANNETTE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","JEANNETTE","ALLEE DE LAVILLA JEANNETTE","Jules Ferry Tout le cété pair et tout le cété impair"
"94",199,"JOUHAUX AVENUE LEON JOUHAUX *","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","JOUHAUX","AVENUE LEON JOUHAUX *","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"95",202,"JUSSIEU RUE BERNARD DE JUSSIEU","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","JUSSIEU","RUE BERNARD DE JUSSIEU"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"96",207,"KIPLING RUE RUDYARD KIPLING","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","KIPLING","RUE RUDYARD KIPLING","Jules Ferry Tout le cété pair et tout le cété impair"
"97",209,"KIPLING RUE RUDYARD KIPLING","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","KIPLING","RUE RUDYARD KIPLING"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"98",214,"LAFARGUE ALLEE PAUL LAFARGUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","LAFARGUE","ALLEE PAUL LAFARGUE","Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"99",217,"LATERAL CHEMIN LATERAL","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair 4 j","LATERAL","CHEMIN LATERAL","Jean Zay Tout le cété pair et tout le cété impair 4 j"
"100",224,"LAUG RUE LAUG","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair","LAUG","RUE LAUG"," Louis Pasteur Tout le cété pair et tout le cété impair"
"101",229,"LAURENCIN SQUARE MARIE LAURENCIN","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","LAURENCIN","SQUARE MARIE LAURENCIN"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"102",234,"LAURIERS ALLEE DES LAURIERS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","LAURIERS","ALLEE DES LAURIERS","Jean Zay Tout le cété pair et tout le cété impair"
"103",237,"LAVIGNE VILLA LAVIGNE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair","LAVIGNE","VILLA LAVIGNE","Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair"
"104",248,"LEBAS AVENUE JEAN LEBAS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","LEBAS","AVENUE JEAN LEBAS","Jean Zay Tout le cété pair et tout le cété impair"
"105",250,"LEBAS AVENUE JEAN LEBAS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le caté pair et tout le cdté impair","LEBAS","AVENUE JEAN LEBAS"," Noue Caillet Albert Camus Tout le caté pair et tout le cdté impair"
"106",257,"LECOMTE RUE JULES LECOMTE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le c6té impair","LECOMTE","RUE JULES LECOMTE","Terre Saint Blaise Tout le cété pair et tout le c6té impair"
"107",261,"LEDER RUE DAVID LEDER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","LEDER","RUE DAVID LEDER"," Pierre Curie Tout le cété pair et tout le cété impair"
"108",263,"LEDER RUE DAVID LEDER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","LEDER","RUE DAVID LEDER","Pierre Curie Tout le cété pair et tout le cété impair"
"109",268,"LELONG RUE JULES LELONG","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cdté impair","LELONG","RUE JULES LELONG","Alain Savary Roger Salengr: Tout le cété pair et tout le cdté impair"
"110",270,"LELONG RUE JULES LELONG","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair","LELONG","RUE JULES LELONG"," R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair"
"113",283,"LEON ALLEE LEON","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","LEON","ALLEE LEON","Léo Lagrange Tout le cété pair et tout le cété impair"
"114",285,"LEON ALLEE LEON","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cété impair","LEON","ALLEE LEON"," Léo Lagrange Tout le cété pair et tout le cété impair"
"115",289,"LETTRES ALLEE DES LETTRES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","LETTRES","ALLEE DES LETTRES","Pierre Curie Tout le cété pair et tout le cdté impair"
"116",291,"LETTRES ALLEE DES LETTRES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","LETTRES","ALLEE DES LETTRES"," Pierre Curie Tout le cété pair et tout le cété impair"
"117",307,"LIBERTE RUE DE LALIBERTE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","LIBERTE","RUE DE LALIBERTE"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
