"","X","Rue","Peri","rueCourte","rue","ecoles"
"1",2,"AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair v","AULNAY","ROUTE D'AULNAY "," Noue Caillet Albert Camus Tout le cété pair et tout le coté impair v"
"2",3,"AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cdté impair","AULNAY","ROUTE D'AULNAY ","Jean Zay Tout le cété pair et tout le cdté impair"
"3",5,"AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le coté impair \/","AURIOL","RUE JACQUELINE AURIOL","Camille Claudel Tout le cété pair et tout le coté impair \/"
"4",6,"AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cdté impair","AURIOL","RUE JACQUELINE AURIOL"," Camille Claudel Tout le cété pair et tout le cdté impair"
"5",8,"AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cote impair","AVIATION","RUE DE L'AVIATION"," Léo Lagrange Tout le cété pair et tout le cote impair"
"6",9,"AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le coté impair","AVIATION","RUE DE L'AVIATION","Léo Lagrange Tout le cété pair et tout le coté impair"
"7",13,"AZALEES ALLEE DES AZALEES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","AZALEES","ALLEE DES AZALEES","Jean Zay Tout le cété pair et tout le cété impair"
"8",16,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmétre Elémentaire Guillaume Apollinaire leone pair allant des n° 2 a 38 et cété impair allant des n° 1 a 28 |","BARBUSSE","AVENUE HENRI BARBUSSE"," Guillaume Apollinaire leone pair allant des n° 2 a 38 et cété impair allant des n° 1 a 28 |"
"9",17,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Guillaume Apollinaire Cété pair allant des n° 2 a 38 et cété impair allant des n° 1 a 29","BARBUSSE","AVENUE HENRI BARBUSSE","Périmétre : Périmetre Guillaume Apollinaire Cété pair allant des n° 2 a 38 et cété impair allant des n° 1 a 29"
"10",18,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n?42 4 998 et cété impair allant des n° 79 a 999","BARBUSSE","AVENUE HENRI BARBUSSE","Henri Sellier Cété pair allant des n?42 4 998 et cété impair allant des n° 79 a 999"
"11",19,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Coté pair allant des n°(42 a 998 et coté impair sans les n°","BARBUSSE","AVENUE HENRI BARBUSSE"," Jules Ferry Jean Rostand Coté pair allant des n°(42 a 998 et coté impair sans les n°"
"12",20,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Camille Claudel Cété pair sans les n° et coté impair allant des n° 31 a3 Vv","BARBUSSE","AVENUE HENRI BARBUSSE","Camille Claudel Cété pair sans les n° et coté impair allant des n° 31 a3 Vv"
"13",21,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair sans les n° et coté impair allant des n° 37 a 999 a FO 4","BARBUSSE","AVENUE HENRI BARBUSSE"," Léo Lagrange Cété pair sans les n° et coté impair allant des n° 37 a 999 a FO 4"
"14",22,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair sans les n° et cété impair allant des n° 37 a 772","BARBUSSE","AVENUE HENRI BARBUSSE","Léo Lagrange Cété pair sans les n° et cété impair allant des n° 37 a 772"
"15",23,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Camille Claudel Cété pair sans les n° et cdté impair allant des n 31a 35 > r/","BARBUSSE","AVENUE HENRI BARBUSSE"," Camille Claudel Cété pair sans les n° et cdté impair allant des n 31a 35 > r/"
"16",25,"BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","BASTIE","ALLEE MARYSE BASTIE"," Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"17",26,"BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","BASTIE","ALLEE MARYSE BASTIE","Jules Ferry Tout le cété pair et tout le cété impair"
