"","numero","nom_voie","nom"
"226135",26,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226136",27,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226137",28,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226138",29,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226139",30,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226140",31,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226141",32,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226142",33,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226143",35,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226144",36,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226145",37,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226146",38,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226147",39,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226148",41,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226149",42,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226150",43,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226151",44,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226152",45,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226153",46,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226154",47,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226155",48,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226156",49,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226157",50,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226158",52,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226159",53,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226160",54,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226161",55,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226162",59,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226163",61,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226164",63,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226165",67,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226166",52,"Rue du Midi","la mare à la Veuve la remise à Jorelle"
"226167",3,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226168",5,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226169",7,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226170",8,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226171",9,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226172",10,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226173",11,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226174",12,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226175",14,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226176",16,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226177",21,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226178",22,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226179",23,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226180",31,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226181",32,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226182",33,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226183",34,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226184",35,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226185",37,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226186",10,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226187",7,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226188",7,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226189",9,"Rue de Varsovie","la mare à la Veuve la remise à Jorelle"
"226190",3,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226191",4,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
