"","NOM","case","NATURE","NOM2","raccourci"
"89","ALL SAN MARTIN","3F","ALL","SAN MARTIN","Merisiers"
"90","ALL SIMON BOLIVAR","3F","ALL","SIMON BOLIVAR","Merisiers"
"91","ALL SORBIERS","2F","ALL","SORBIERS","NC-TSB"
"92","ALL SURCOUF","2B","ALL","SURCOUF","MVeuve Mainguy"
"93","ALL SYCOMORES","2F","ALL","SYCOMORES","NC-TSB"
"94","ALL SYLPHES","3B","ALL","SYLPHES","Saule"
"95","ALL THERESE","4C","ALL","THERESE","Saule"
"96","ALL TILLEULS","3B","ALL","TILLEULS","MVeuve"
"97","ALL TULIPES","2D","ALL","TULIPES","NC-TSB"
"98","ALL VICTOR HUGO","3B","ALL","VICTOR HUGO","MVeuve"
"99","ALL VIGNES","2F","ALL","VIGNES","NC-TSB"
"100","ALL VILLA JEANNETTE","3B","ALL","VILLA JEANNETTE","Saule"
"101","ALL VOLTAIRE","3C","ALL","VOLTAIRE","Saule"
"102","ALL WATTEAU","3B","ALL","WATTEAU","MVeuve"
"103","AV ALBERT THOMAS","4C","AV","ALBERT THOMAS","Saule"
"104","AV ANATOLE FRANCE","4B","AV","ANATOLE FRANCE","MVeuve"
"105","AV BELFORT","2B","AV","BELFORT","MVeuve"
"106","AV BLERIOT","3B","AV","BLERIOT","Saule"
"107","AV CADERAS","3B","AV","CADERAS","MVeuve Saule"
"108","AV CARNOT","2B","AV","CARNOT","MVeuve Mainguy Saule"
"109","AV CLARA GRANDET","2E","AV","CLARA GRANDET","Merisiers"
"110","AV DENISE","3B","AV","DENISE","MVeuve Saule"
"111","AV DUMESNIL","4B","AV","DUMESNIL","Saule"
"112","AV ESPERANCE","4B","AV","ESPERANCE","Saule"
"113","AV EST","2B","AV","EST","MVeuve"
"114","AV GALLIENI","1D","AV","GALLIENI","Mainguy Saule Merisiers NC-TSB"
"115","AV GENEVIEVE ANTHONIOZ DE GAULLE","3B","AV","GENEVIEVE ANTHONIOZ DE GAULLE","MVeuve"
"116","AV GUEUGNON","2D","AV","GUEUGNON","Merisiers"
"117","AV HENRI BARBUSSE","3C","AV","HENRI BARBUSSE","Saule"
"118","AV HENRI VARAGNAT","2E","AV","HENRI VARAGNAT","Merisiers NC-TSB"
"119","AV IDEAL","4B","AV","IDEAL","Saule"
"120","AV JEAN LEBAS","2E","AV","JEAN LEBAS","NC-TSB"
"121","AV JEAN MOULIN","2E","AV","JEAN MOULIN","NC-TSB"
"122","AV JULES FERRY","1B","AV","JULES FERRY","MVeuve Mainguy"
"123","AV LEON BLUM","2E","AV","LEON BLUM","NC-TSB"
"124","AV LEON JOUHAUX","2F","AV","LEON JOUHAUX","Merisiers NC-TSB"
"125","AV MAL DE LATTRE DE TASSIGNY","3C","AV","MAL DE LATTRE DE TASSIGNY","Mainguy Saule Merisiers"
"126","AV MARGUERITE","3D","AV","MARGUERITE","Merisiers"
"127","AV MARIE CURIE","3B","AV","MARIE CURIE","MVeuve Saule"
"128","AV MARX DORMOY","2E","AV","MARX DORMOY","Merisiers NC-TSB"
"129","AV MAURICE BENHAMOU","2E","AV","MAURICE BENHAMOU","Merisiers NC-TSB"
"130","AV MESARMES","3D","AV","MESARMES","Merisiers"
"131","AV METZ","2A","AV","METZ","MVeuve"
"132","AV NANCY","2B","AV","NANCY","MVeuve"
"133","AV PARISIENNE","3E","AV","PARISIENNE","Merisiers"
"134","AV PASTEUR","3C","AV","PASTEUR","Mainguy Saule Merisiers"
"135","AV PLATANES","2B","AV","PLATANES","MVeuve"
"136","AV QUATORZE JUILLET","3E","AV","QUATORZE JUILLET","Merisiers"
"137","AV REPUBLIQUE","2B","AV","REPUBLIQUE","MVeuve Mainguy"
"138","AV ROSNY","1C","AV","ROSNY","Mainguy"
"139","AV ROUGET DE LISLE","3B","AV","ROUGET DE LISLE","Saule"
"140","AV SCIENCES","4B","AV","SCIENCES","MVeuve"
"141","AV SUZANNE BUISSON","2E","AV","SUZANNE BUISSON","Merisiers NC-TSB"
"142","AV VERDUN","4C","AV","VERDUN","Saule"
"143","AV VILLAGEOISE","3E","AV","VILLAGEOISE","Merisiers"
"144","AV VILLEGIATURE","3E","AV","VILLEGIATURE","Merisiers"
"145","CH CARROUGES","2A","CH","CARROUGES","MVeuve"
"146","CH GROSLAY","1D","CH","GROSLAY","NC-TSB"
"147","CH LATERAL","1D","CH","LATERAL","Merisiers NC-TSB"
"148","CH MARE A LA VEUVE","2A","CH","MARE A LA VEUVE","MVeuve"
