InputID,TargetID,Distance
"2",mairie,910.273266386751
"3",mairie,905.780540276253
"4",mairie,898.310755520006
"5",mairie,894.946382511251
"6",mairie,889.685358777148
"7",mairie,889.423484086979
"8",mairie,895.968918670951
"9",mairie,898.413093811879
"10",mairie,894.662696648254
"11",mairie,893.905321544639
"12",mairie,862.323853387227
"13",mairie,987.453834444118
"14",mairie,981.447770037238
"15",mairie,975.699437610437
"16",mairie,930.418786186344
"17",mairie,915.893228254091
"18",mairie,971.099545979759
"19",mairie,894.383508455659
"20",mairie,965.954363969371
"21",mairie,962.167203301865
"22",mairie,751.965155845928
"23",mairie,945.95297732998
"24",mairie,933.949825301029
"25",mairie,918.118394810902
"26",mairie,716.131119006669
"27",mairie,905.892362880284
"28",mairie,707.600206908124
"29",mairie,894.241793570464
"30",mairie,680.67772298546
"31",mairie,880.437220855802
"32",mairie,686.527903028384
"33",mairie,677.765085282355
"34",mairie,1190.36078910198
"35",mairie,1201.41476806578
"36",mairie,887.511018146176
"37",mairie,1226.78233691962
"38",mairie,1237.73119106553
"39",mairie,1247.7336037676
"40",mairie,1254.51125208902
"41",mairie,894.611255756892
"42",mairie,1269.13320443502
"43",mairie,860.733948990461
"44",mairie,1279.85669938438
"45",mairie,1204.16612625524
"46",mairie,969.490875052574
"47",mairie,860.55786034606
"48",mairie,1214.57101427487
"49",mairie,1306.28469290365
"50",mairie,1228.71098716359
"51",mairie,1251.68638183721
"52",mairie,1322.42820450937
"53",mairie,1348.58844854429
"54",mairie,1335.76943197004
"55",mairie,858.59170420721
"56",mairie,1153.47859783555
"57",mairie,1177.25075952817
"58",mairie,1191.26138047158
"59",mairie,1284.19041151568
"60",mairie,1218.48148221195
"61",mairie,1230.1592956443
"62",mairie,1239.22128396394
"63",mairie,1363.5700750196
"64",mairie,1107.91530753843
"65",mairie,1275.5020247871
"66",mairie,1392.28516786609
"67",mairie,1413.25179673028
"68",mairie,1434.43188950355
"69",mairie,1113.66222133121
"70",mairie,1227.18889920502
"71",mairie,1266.19685587211
"72",mairie,1128.49587307292
"73",mairie,1142.96786081712
"74",mairie,1159.88921981992
"75",mairie,1313.61782089063
"76",mairie,1256.71800764327
"77",mairie,1215.07771215314
"78",mairie,1099.82328908519
"79",mairie,1116.92047131126
"80",mairie,1128.05591821502
"81",mairie,1313.86409158586
"82",mairie,1146.41951611445
"83",mairie,1247.62003291265
"84",mairie,1300.54527305284
"85",mairie,1163.13153968899
"86",mairie,1485.78012886018
"87",mairie,1633.7678353559
"88",mairie,1507.06426219435
"90",mairie,1674.01752995745
"91",mairie,1528.20633285559
"92",mairie,1237.19065843245
"93",mairie,1550.28448245145
"94",mairie,475.722452485094
"95",mairie,1571.75188251884
"96",mairie,468.564113164819
"97",mairie,602.556318249884
"99",mairie,451.740493851243
"100",mairie,1230.4385007581
"101",mairie,469.69044640808
"102",mairie,1700.08985152299
"103",mairie,452.44756507874
"104",mairie,448.193788404415
"105",mairie,463.823217455308
"106",mairie,1713.97406708943
"107",mairie,444.821923616609
"108",mairie,1731.56557810188
"109",mairie,1221.83430919178
"110",mairie,441.553654738183
"111",mairie,1746.04250853936
"112",mairie,458.17258344252
"113",mairie,1760.86966812241
"114",mairie,438.330954298792
"115",mairie,1776.14940772509
"116",mairie,1792.96219601947
"117",mairie,435.154834727892
"118",mairie,452.615864043828
"119",mairie,1810.23640990356
"120",mairie,445.095323314891
"121",mairie,1825.42357296784
"122",mairie,436.458486894069
"123",mairie,1603.65984350561
"124",mairie,1503.61690209978
"125",mairie,1580.87640632653
"126",mairie,1428.76397892583
"127",mairie,1579.02225386303
"128",mairie,1496.71327140375
"129",mairie,1575.49203937831
"130",mairie,1423.63566957802
"131",mairie,1473.60735471564
"132",mairie,547.852054666803
"133",mairie,1570.34198609414
"134",mairie,1892.41566194172
"135",mairie,1490.35800949483
"136",mairie,1418.12056447283
"137",mairie,1467.65580391655
"138",mairie,400.826308043792
"139",mairie,1890.18575170408
"140",mairie,1417.74719458784
"141",mairie,472.823328059026
"142",mairie,433.195074497323
"144",mairie,417.916197112671
"145",mairie,1461.0612593882
"146",mairie,1482.43621572253
"147",mairie,453.166860976555
