"","x"
"1","limite"
"2","cadastre"
"3","arbre"
"4","ads"
"5","velo"
"6","habitat"
"7","bat"
"8","rue"
"9","epEntites"
"10","epPoint"
"11","epLigne"
"12","trajet"
"13","trajetAli"
"14","POIAli"
"15","POIBea"
"16","POIAli2"
"17","foncierEtendu"
