principal,numero,repetition,type_voie,libelle,categorie,type,nombre_logements,actualité,commentaire,fid,nom
O,"6",,ALL,MARCEL SEMBAT,HABIT,"21","1","3","MAIRIE 03/03/2023: idem¶MAIRIE 09/12/2022: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 03/03/2021:  travaux abandonnés???¶MAIRIE 04/11/2020:  maison de deux étages en cours de construction ( murs en brique)  mais les travaux semblent abandonnés¶INSEE LE 12/12/16 : merci de vérifier l'actualité de ce pc. Il existe déjà un pc actu 2 sur cette EA.¶MAIRIE 25/03/2019: un petit bâtiment de 2 étages se construit entre la maison du n° 4 et celle du n° 6. La maison au n° 4 est habitée, les travaux du petit bâtiment sont stoppés d'après une voisine et la maison du n° 6 est couverte de bâches suite à des problèmes avec la nouvelle construction d'à côté. Aucun PC n'est affiché","7",est
O,"8",,R,DE L'EGALITE,HABIT,"21","1","3","INSEE 04/01/2023: Une EA existe déjà à cette adresse. Faut-il modifier le nombre de logements de l'EA existante, une fois les travaux terminés ? ¶Merci de faire les modifications nécessaires.","6",centre
O,"27",,R,DU BREUIL,HABIT,"23","4","2","MAIRIE 27/03/2023: pas de travaux¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'aménagement de 4 logements collectifs dans une maison existante'. Faut-il modifier le nombre de logements de l'EA existante, une fois les travaux terminés ? Merci de faire les modifications nécessaires.","6",centre
O,"5",,R,DU POTAGER,HABIT,"23","13","3",MAIRIE 27/03/2023: idem¶MAIRIE 09/11/2022: travaux en cours¶MAIRIE 06/04/2022: détruite¶MAIRIE 05/11/2021: idem¶MAIRIE 12/03/2021:  PC affiché pas de travaux en cours¶INSEE 05/11/2020: Suite PC 2EFLUX 20-21 création EA sur existant - D'après descriptif des travaux : DEMOLITION D'1 LOGEMENT ET CONSTRUCTION IMMEUBLE DE 13 LOGEMENTS - A vérifier et si destruction il faudra périmer l'ancienne EA et garder l'EA avec le permis.,"6",centre
O,"4",,R,FRERES DARTY,HABIT,"23","12","3","INSEE 21/12/2022: Merci de nous donner la répartition du nombre de logements entre le 4 et le 6 rue des Frères Darty (pour rappel, 25 logements au total sur le permis) (actuellement, mis à 0 logt au 4 rue Frères Darty et 25 logts au 6 rue Frères Darty).¶MAIRIE 09/12/2022: Demande de dégroupement 4 et 6 rue des frères darty le n° 68 n'existe plus¶INSEE 15/02/2021: Suite contrôles sur PC ajout du complément.¶INSEE 02/05/2018: Création ea merci de preciser la numérotation et de bien placer EA¶MAIRIE 12/04/2019: Le PC...17B0063 est situé à l'angle de la rue des Frères Darty et l'av du Maréchal de Lattre de Tassigny. Il y aura 25 appartements du studio au 5 pièces ainsi que 3 commerces. Actuellement, le terrain vague est bien délimité mais on ne voit pas encore d'ouvriers sur le chantier. Ces habitations viendront après l'immeuble situé au n° 70 de l'av du Maréchal de Lattre de Tassigny.¶MAIRIE 05/10/2020:  PC affiché avec 25 logements et 3 commerces travaux en cours","6",centre
O,"6",,R,FRERES DARTY,HABIT,"23","13","3","INSEE 21/12/2022: Merci de nous donner la répartition du nombre de logements entre le 4 et le 6 rue des Frères Darty (pour rappel, 25 logements au total sur le permis) (actuellement, mis à 0 logt au 4 rue Frères Darty et 25 logts au 6 rue Frères Darty). Et merci de vérifier le positionnement des EA du 4 et 6 rue Frères Darty.¶MAIRIE 09/12/2022: Demande de dégroupement 4 et 6 rue des frères darty le n° 68 n'existe plus¶INSEE 15/02/2021: Suite contrôles sur PC ajout du complément.¶INSEE 02/05/2018: Création ea merci de preciser la numérotation et de bien placer EA¶MAIRIE 12/04/2019: Le PC...17B0063 est situé à l'angle de la rue des Frères Darty et l'av du Maréchal de Lattre de Tassigny. Il y aura 25 appartements du studio au 5 pièces ainsi que 3 commerces. Actuellement, le terrain vague est bien délimité mais on ne voit pas encore d'ouvriers sur le chantier. Ces habitations viendront après l'immeuble situé au n° 70 de l'av du Maréchal de Lattre de Tassigny.¶MAIRIE 05/10/2020:  PC affiché avec 25 logements et 3 commerces travaux en cours","6",centre
O,"19",,CHE,DE LA MARE A LA VEUVE,HABIT,"21","1","3",MAIRIE 04/04/2023: travaux en cours d'achèvement (6 mois)¶INSEE 08/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée.,"5",sudouest
O,"7",,R,JOE CARMAN,HABIT,"21","1","2","MAIRIE 02/12/2022: Travaux abandonnés¶MAIRIE 10/03/2021:  PC affiché¶MAIRIE 22/10/2020:  pc AFFICHE PAS DE TRAVAUX VISIBLE TERRAIN ABANDONNE¶INSEE 24/08/2020: Suite PC 1ER FLUX 20-21 EA créée remplace EA existante? que devient l'ancien bâti ?¶si destruction, merci de périmer l'ancien bâti existant.","5",sudouest
O,"42",,R,ETIENNE DOLET,HABIT,"22","2","3",MAIRIE 04/04/2023: travaux¶INSEE 10/02/2023: Une EA existe déjà à cette adresse. Le permis indique 'nombre de logements démolis=1' et la 'construction de deux maisons individuelles'. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires.,"5",sudouest
O,"15",,AV,JULES FERRY,HABIT,"23","136","3","MAIRIE 04/04/2023: démolition effectuée¶INSEE 10/02/2023: Plusieurs EA existent aux adresses du PC, mais également sur les parcelles cadastrales du PC (correspondant à d'autres adresses). Merci de vérifier les EA alentours (adresse du PC = 15-21 av. Jules Ferry + parcelles AU0020 AU0022 AU0023). Le permis indique 'nombre de logements démolis=12' et la construction de 136 logements. Merci de faire les modifications nécessaires.","5",sudouest
O,"6",BIS,AV,JULES FERRY,HABIT,"23","83","3","MAIRIE 04/04/2023: démolition achevée¶INSEE 09/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée. ¶De plus, le PC indique 3 logements démolis : merci de faire le nécessaire sur les EA alentours concernées.","5",sudouest
O,"25",,AV,DE L'EST,HABIT,"21","1","2",INSEE 07/04/2023: Merci de vérifier le positionnement et l'actualité de l'entité adressée.,"5",sudouest
O,"25",,R,DU CYCLE,HABIT,"21","1","2","INSEE 07/04/2023: Deux EA existent déjà à cette adresse (1 EA habitable et 1 EA en travaux commencés). Le permis indique 'construction nouvelle : pavillon neuf'.   Merci de vérifier le positionnement et l'actualité de l'entité adressée (parcelle cadastrale 0T0188 non trouvée en date d'aujourd'hui). Si l'EA habitable n'existe plus, merci de la périmer (terrain nu en satellite et sur Maps).","7",est
O,"3",,AV,DENISE,HABIT,"23","2","2","INSEE 28/11/2022: Merci de vérifier l'adressage de cette EA et de l'EA déjà existante au 3 avenue Denise (accès secondaire 64 Edouard Vaillant).¶MAIRIE 10/11/2022: 1 BAL verif sur le permis¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour 2 logts, pas d'information sur l'adresse ni sur la référence cadastrale.¶Avant de rendre habitable vérifier et modifier l'adresse, le positionnement et la référence cadastrale de ces 2 logts.","6",centre
O,"2",,AV,DE LA VILLAGEOISE,HABIT,"21","1","2",MAIRIE 11/04/2023: idem¶MAIRIE 15/11/2022: idem¶MAIRIE 30/03/2022: rien (pelouse)¶INSEE 11/02/2022: Suite PC 3ème flux 21-22 création de l'EA sur existant.¶D'après descriptif : Construction d'une maison individuelle de 190 m² habitables sur trois niveaux (R+2) - Que devient l'ancien bâti au 2 avenue de la Villageoise ? détruite ? rénovation ? si pas habitable il faudra la périmer et garder l'EA avec le PC|,"9",nord est
O,"49",,R,DU QUATRE SEPTEMBRE,HABIT,"21","1","2",MAIRIE 11/04/2023: idem¶MAIRIE 09/12/2022: Une seule bal¶INSEE 23/09/2021: Suite PC 1ER FLUX 21-22 EA créée remplace EA existante ? D'après descriptif des travaux : rajout d'un appartement à la construction existante - donc peut-être 2 logts 1 fois les travaux terminés. A vérifier à la fin des travaux.,"9",nord est
O,"6",,R,DU QUATRE SEPTEMBRE,HABIT,"21","1","3",MAIRIE 11/04/2023: idem¶MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021:  PC 9301019B0035 travaux pas commencés¶INSEE 05/11/2020: Suite PC 2E FLUX 20-21 création EA sur existant  - d'après descriptif des travaux : DEMOLITION DE 2 BATIMENTS EXISTANTS - CONSTRUCTION D'UNE MAISON SUR 4 NIVEAUX - A Vérifier - ATTENTION EA échantillonnée -,"9",nord est
O,"1",,R,DE VERSAILLES,HABIT,"23","20","2","MAIRIE 11/04/2023: idem¶MAIRIE 09/12/2022: idem¶MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021:  ¶INSEE 23/02/2018:  Vérifier l'actualité et le positionnement de l'EA¶MAIRIE 21/06/2018:  Travaux pas encore commencés. L'emplacement est correcte sur la carte, terrain d'angle situé 1 r de Versailles et 27 av. H. Varagnat.¶MAIRIE 04/04/2019: J'ai vu le propriétaire qui habite dans le pavillon du 1 r Versailles/27 av. H Varagnat (le n° 1 n'est pas affiché et il n'y a pas véritablement d'entrée dans la rue de Versailles). Les travaux ne sont pas encore commencés pour des problèmes de finances. Le PC est affiché mais effacé.¶MAIRIE 19/06/2020:  demande de prolongation de PC travaux vont bientôt démarrer.¶¶PC9301016B0069T01 travaux  n'ont pas démarrer mais beaucoup de matériel stocké ( plaques isolation)","10",nord
O,"10",,R,DE MEAUX,HABIT,"21","1","3","MAIRIE 11/04/2023: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 03/03/2021:  maison 2 étages construite fenêtres posées pas de nom sur la boite aux lettres travaux en cours¶INSEE 15/02/2021: Suite contrôles PC vu photo maison bien avancée sur google maps (image oct 2020). Vu 2PB+1TH merci de vérifier sur terrain si logement habitable. ¶INSEE 05/09/2019: EA créée remplace EA existante ?  Destruction ancien bâti ?  Si oui, merci d’effectuer les modifications (sans oublier de périmer l’ancienne EA).¶MAIRIE 19/06/2020:  maison 2 étages en construction","10",nord
O,"79",,R,LOUIS AUGUSTE BLANQUI,HABIT,"21","1","3","MAIRIE 11/04/2023: idem¶MAIRIE 01/12/2022: Travaux abandonnés Café petit Blanqui¶INSEE 12/07/2022: Suite Expertise Légale : EA actu 3.¶MAIRIE 07/07/2022: idem¶MAIRIE 22/06/2021:  pas de PC affiché pas de travaux commencés semble abandonné¶INSEE 19/02/2020:  suite RP 2020 FN, actualité 3-travaux commencés,  motif : Adresse non habitée, en cours de construction ou de réhabilitation, merci de vérifier le type, l'actualité, d'indiquer le n°du PC et le nombre de logements.¶MAIRIE 18/06/2020: pas de pc affiché maison abandonnée à proximité du café ' le petit blanqui' qui est fermé lui aussi","6",centre
O,"38",,AV,DU MAL DE LATTRE DE TASSIGNY,HABIT,"23","187","2",MAIRIE 11/04/2023: travaux commencés¶MAIRIE 07/12/2022: travaux non commencés¶MAIRIE 30/03/2022: idem¶INSEE 28/10/2021: Suite PC 2ème flux 21-22 création de l'EA nouvelle pour 187 logts - Vu sur google maps image de Mars 2021 : Démolition des logts du 38 au 48 av de Lattre de Tassigny : sur Rorcal les EA du 38 au 48 sont bien périmées.,"6",centre
O,"20",,CHE,LATERAL,HABIT,"23","123","3","MAIRIE 11/04/2023: en voie de finition pas d'accès¶INSEE 16/12/2022: Avant de rendre habitable, merci de bien vouloir nous communiquer l'adressage exact, ainsi que la répartition des logements au sein des bâtiments (dégroupement).¶MAIRIE 07/12/2022: 21-33 Rue chemin latéral travaux en cours emplacement du panneau¶MAIRIE 19/05/2022: l'adressage se fera sur Simone Veil¶MAIRIE 16/11/2021: pas d'adressage encore.¶INSEE 23/09/2021: Création EA suite PC 1ERFLUX 21-22","8",zac
O,"24",,RTE,D'AULNAY,HABIT,"23","181","3","MAIRIE 11/04/2023: en voie de finition¶MAIRIE 02/12/2022: Travaux en cours 3 étages¶MAIRIE 03/03/2021: Travaux en cours fondations¶insee le 09/12/16 : Merci de préciser l'adresse complète et la répartition des 181 logements sur les adresses du 24 au 32.¶MAIRIE 18/06/2018:  PC affiché - construction d'un ensemble de 8 bâtiments - Terrain vague, le terrain est  bien délimité mais les travaux ne semblent pas vraiment commencés. Je ne connais pas encore la répartition des logements et le nombre de logements n'est pas affiché.¶MAIRIE 09/04/2019: Travaux non commencés. PC affiché + 2 PC modificatifs : PC9301015B0069MO1 où il est indiqué que le terrain d'assiette du PC provient bien d'une division foncière ainsi que le PC....M02 ou il est indiqué 'régularisation des locaux commerciaux prévus en RC dans 6 des 8 bâtiments de l'ensemble immobilier'.¶MAIRIE 19/06/2020:  plusieurs immeubles sont en construction","8",zac
O,"113",,AV,HENRI BARBUSSE,HABIT,"22","2","2","MAIRIE 11/04/2023: pas de travaux¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'extension et surélévation d'une construction d'habitation pour créer 2 logements supplémentaires'.¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Faut-il modifier le nombre de logements de l'EA existante, une fois les travaux terminés ? Merci de faire les modifications nécessaires.","7",est
O,"136",,AV,HENRI BARBUSSE,HABIT,"21","1","3","MAIRIE 11/04/2023: pas de travaux¶INSEE 09/12/2022: Il existe déjà une EA à cette adresse. Le PC indique la 'construction d'une maison individuelle neuve sur une parcelle issue d'une division de terrain'. Une construction est visible sur Maps, à l'arrière du 136 Barbusse (dans la rue Raoul). Vérifier s'il s'agit bien de ce PC.¶Faut-il modifier l'adresse de la nouvelle EA et conserver l'ancienne ? Merci de faire les modifications nécessaires.","7",est
O,"5",,ALL,RACINE,HABIT,"21","1","3","MAIRIE 11/04/2023: idem¶MAIRIE 02/12/2022: Idem¶MAIRIE 09/03/2021:  travaux semblent abandonnés¶DR le 7/3/17 : en construction pas de n° de PC suite retour collecte 2017. MAISON EN CONSTRUCTION RC + 1 ETAGE - IL Y A BIEN UNE PANCARTE MAIS LE PC ET TOUTES LES INFOS DE L'ADRESSE SONT EFFACES.¶MAIRIE 30/05/2018:  Rien de changé depuis la dernière fois sauf que les travaux semblent arrêtés !¶MAIRIE 09/04/2019: Pas de PC affiché, RAS les fenêtres ne sont toujours pas mises et les travaux semblent arrêtés.¶MAIRIE 18/06/2020: Travaux en cours 1 logement à venir","7",est
