principal,numero,repetition,type_voie,libelle,categorie,type,nombre_logements,actualité,commentaire,fid,nom
O,"20",,R,EMMANUEL FAIRON,HABIT,"21","1","3",MAIRIE 12/04/2023: idem¶MAIRIE 02/12/2022: Non pas de permis¶MAIRIE 30/03/2022: pas de permis connu¶INSEE 07/02/2022:Suite FN RP 2022 EA actu 3 - Pouvz-vous nous donner le n°de PC - Merci -,"7",est
O,"0",,R,BENOITE GROULT,HABIT,"23","68","3","INSEE 20/04/2023: rue Benoite Groult créée, et adresse mise à jour comme demandée. Îlot C9B (angle rue Benoîte Groult et rue Aretha Franklin).¶MAIRIE 27/02/2023: il s'agit de l'ilôt C9b dont l'ouverture sera sur Benoite Groult (à créer)¶INSEE 16/02/2022: Suite PC 3ème flux 21-22 création de l'EA - Voir si EA bien placée.","8",zac
O,"1",,R,NADIA MURAD,HABIT,"23","18","3",MAIRIE 27/02/2023: dégroupage et emplacement géographique¶MAIRIE 09/12/2022: A2 18 lgts A1 23 lgts B 11 lgts C2 20 lgts C1 24¶MAIRIE 03/03/2021: Travaux en cours immeuble construit les fenêtres sont posées¶INSEE 03/08/2018: création 1er flux de pc merci de verifier le positionnement et la numérotation lors du passage en habitable¶MAIRIE 09/04/2019: Chantier juste à côté du chantier au numéro 39. Contruction d'un ensemble immobilier composé de logements et de locaux d'activités. Les travaux de fondation sont en cours.,"8",zac
O,"0",,R,BENOITE GROULT,HABIT,"23","29","2","INSEE 25/04/2023: D'après le plan transmis par la mairie sur la numérotation des Rives de l'Ourcq, il s'agit du Bât D, angle des rues Benoite Groult et Simone Veil.¶INSEE 13/04/2023: Ce permis arrive sans voie ni parcelle cadastrale. Îlot concerné du programme de la ZAC Rives de l'Ourcq non identifiable au vu de la description du PC. Merci de compléter la parcelle cadastrale, l'adresse, et de repositionner l'EA en fonction des informations dont vous disposez en mairie. [descriptif des travaux : construction d'un ensemble mixte d'environ 165m² d'activité et de 29 logements collectifs'].","8",zac
O,"11",,R,SIMONE VEIL,HABIT,"23","66","3","INSEE 25/04/2023: Le nombre de logements est donné pour l'ensemble du Carré des Rives qui comporte 2 EA (9 et 11 rue Simone Veil). Merci de répartir les 66 logements sur ces 2 EA quand la répartition sera connue (par défaut, nous avons mis 66 logements au 11 rue Simone Veil, et 0 logement au 9 rue Simone Veil).¶INSEE 25/04/2023: Suite à l'arrêté de numérotation n°A2022_406 du 12 août 2022, la numérotation du Carré des Rives (îlot C11A) sera la suivante : ¶- Hall A : 9 rue Simone Veil | ¶- Hall B : 11 rue Simone Veil | ¶- Local : 13 Chemin Latéral.¶MAIRIE 11/04/2023: en voie de finition¶MAIRIE 09/12/2022: Carré des rives toujours en travaux¶MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021 constructions en cours ¶INSEE 05/09/2019: Création nouvelle EA suite 1 er flux de PC 2019/2020.merci de verifier le placement des PC du chemin latéral et le nombres de logements voir dégroupement quant actu 0¶MAIRIE 23/06/2020:  construction en cours","8",zac
O,"9",,R,SIMONE VEIL,HABIT,"23","0","3","INSEE 25/04/2023: Le nombre de logements est donné pour l'ensemble du Carré des Rives qui comporte 2 EA (9 et 11 rue Simone Veil). Merci de répartir les 66 logements sur ces 2 EA quand la répartition sera connue (par défaut, nous avons mis 66 logements au 11 rue Simone Veil, et 0 logement au 9 rue Simone Veil).¶INSEE 25/04/2023: Suite à l'arrêté de numérotation n°A2022_406 du 12 août 2022, la numérotation du Carré des Rives (îlot C11A) sera la suivante : ¶- Hall A : 9 rue Simone Veil | ¶- Hall B : 11 rue Simone Veil | ¶- Local : 13 Chemin Latéral.¶MAIRIE 11/04/2023: en voie de finition¶MAIRIE 09/12/2022: Carré des rives toujours en travaux¶MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021 constructions en cours ¶INSEE 05/09/2019: Création nouvelle EA suite 1 er flux de PC 2019/2020.merci de verifier le placement des PC du chemin latéral et le nombres de logements voir dégroupement quant actu 0¶MAIRIE 23/06/2020:  construction en cours","8",zac
O,"3",,R,GISELE HALIMI,HABIT,"23","20","3","MAIRIE 27/02/2023: dégroupement, changement géographique et changement de statut¶MAIRIE 09/12/2022: A2 18 lgts A1 23 lgts B 11 lgts C2 20 lgts C1 24¶MAIRIE 03/03/2021: Travaux en cours immeuble construit les fenêtres sont posées¶INSEE 03/08/2018: création 1er flux de pc merci de verifier le positionnement et la numérotation lors du passage en habitable¶MAIRIE 09/04/2019: Chantier juste à côté du chantier au numéro 39. Contruction d'un ensemble immobilier composé de logements et de locaux d'activités. Les travaux de fondation sont en cours.","8",zac
O,"8",,R,BENOITE GROULT,HABIT,"23","30","3","INSEE 26/04/2023: Îlot C9A : 8 rue Benoîte Groult = 30 logements.¶INSEE 29/04/2022: EAAC 4e flux 21-22 PC autorisé pour la construction de 30 logements (Description :    CONSTRUCTION D'UN ENSEMBLE MIXTE COMPRENANT 30 LOGEMENTS ET UN COMMERCE).¶Nous n'avons pas d'information sur la parcelle cadastrale ni l'adresse de ce PC, merci de vérifier et modifier l'EA en ajoutant la parcelle cadastrale, l'adresse et le positionnement.","8",zac
O,"55",,AV,CARNOT,HABIT,"23","49","3","INSEE 15/05/2023: Merci de nous indiquer la répartition des 49 logements par hall d'entrée.¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_051 du 27 février 2023, la numérotation est la suivante : ¶- Hall A et B : 55-57 avenue Carnot.¶¶MAIRIE 27/03/2023: plus qu'un mois !¶MAIRIE 01/12/2022: 5 étages montées. Fini dans un an¶MAIRIE 06/04/2022: ouverture chantier côté Blanqui.¶INSEE 11/02/2022: Suite PC 3ème flux 21-22 création de l'EA - A priori construction de 49 logts : 3 parcelles cadastrales concernées AC0036-AC0037-AC0007 - Que deviennent les habitations sur ces 3 EA ? vont-elles être détruites ? Merci de bien vouloir vérifiers ces 3 EA -","6",centre
O,"51",,R,EDOUARD VAILLANT,HABIT,"23","0","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (51, 53, 55 et 55 bis rue Edouard Vaillant). Merci de répartir les 87 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 87 logements au 55bis rue Edouard Vaillant, et 0 logement au 51, 53 et 55 rue Edouard Vaillant).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_050 du 27 février 2023, la numérotation du PC9301019B0008 (87 logements) est la suivante : ¶- Bâtiments A et B : 51 et 53 rue Edouard Vaillant | ¶- Bâtiments C et D : 55 et 55 bis rue Edouard Vaillant.¶¶MAIRIE 01/12/2022: 3 étages montées fin prévu 2024.¶MAIRIE 06/04/2022: idem¶MAIRIE 22/10/2021: en construction¶MAIRIE 09/03/2021:  pas de travaux visibles","6",centre
O,"53",,R,EDOUARD VAILLANT,HABIT,"23","0","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (51, 53, 55 et 55 bis rue Edouard Vaillant). Merci de répartir les 87 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 87 logements au 55bis rue Edouard Vaillant, et 0 logement au 51, 53 et 55 rue Edouard Vaillant).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_050 du 27 février 2023, la numérotation du PC9301019B0008 (87 logements) est la suivante : ¶- Bâtiments A et B : 51 et 53 rue Edouard Vaillant | ¶- Bâtiments C et D : 55 et 55 bis rue Edouard Vaillant.¶¶MAIRIE 01/12/2022: 3 étages montées fin prévu 2024.¶MAIRIE 06/04/2022: idem¶MAIRIE 22/10/2021: en construction¶MAIRIE 09/03/2021:  pas de travaux visibles","6",centre
O,"55",,R,EDOUARD VAILLANT,HABIT,"23","0","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (51, 53, 55 et 55 bis rue Edouard Vaillant). Merci de répartir les 87 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 87 logements au 55bis rue Edouard Vaillant, et 0 logement au 51, 53 et 55 rue Edouard Vaillant).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_050 du 27 février 2023, la numérotation du PC9301019B0008 (87 logements) est la suivante : ¶- Bâtiments A et B : 51 et 53 rue Edouard Vaillant | ¶- Bâtiments C et D : 55 et 55 bis rue Edouard Vaillant.¶¶MAIRIE 01/12/2022: 3 étages montées fin prévu 2024.¶MAIRIE 06/04/2022: idem¶MAIRIE 22/10/2021: en construction¶MAIRIE 09/03/2021:  pas de travaux visibles","6",centre
O,"55",BIS,R,EDOUARD VAILLANT,HABIT,"23","87","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (51, 53, 55 et 55 bis rue Edouard Vaillant). Merci de répartir les 87 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 87 logements au 55bis rue Edouard Vaillant, et 0 logement au 51, 53 et 55 rue Edouard Vaillant).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_050 du 27 février 2023, la numérotation du PC9301019B0008 (87 logements) est la suivante : ¶- Bâtiments A et B : 51 et 53 rue Edouard Vaillant | ¶- Bâtiments C et D : 55 et 55 bis rue Edouard Vaillant.¶¶MAIRIE 01/12/2022: 3 étages montées fin prévu 2024.¶MAIRIE 06/04/2022: idem¶MAIRIE 22/10/2021: en construction¶MAIRIE 09/03/2021:  pas de travaux visibles","6",centre
O,"23",,CHE,DE LA MARE A LA VEUVE,HABIT,"27","0","4","MAIRIE 19/06/2023: effectivement, il y a une construction avec ce numéro de permis mais plutôt sur la parcelle BF0261¶MAIRIE 28/03/2023: le logement est 26 rue joe carman. il s'agit d'un accès secondaire.modif faite au niveau de l'accès principal hors liste.¶MAIRIE 02/12/2022:Idem¶MAIRIE 13/06/2022: avec rapprochement photo / point BAN confirmation. cabanon non habitatble.¶MAIRIE 28/01/2022: pas de numérotation.¶MAIRIE 10/03/2021:   PC affiché¶INSEE 05/11/2020: Suite PC 2E FLUX 20-21 création EA.","5",sudouest
O,"1",,R,BENOITE GROULT,HABIT,"23","65","2","INSEE 25/04/2023: Permis remis en Travaux autorisés. Îlot C9 (angle des rues Benoîte Groult, Simone Veil et Nadia Murad).¶INSEE 17/04/2023: Pourquoi avez-vous périmé ce permis en novembre 2022 ? ¶A priori, il s'agit de l'îlot C9 (3 permis pour les 124 logts : PC9301020B0056 + PC9301020B0057 + PC9301020B0058). ¶INSEE 16/02/2022: Création suite PC 3ème flux21-22 - Voir svp si EA bien placée -","8",zac
O,"1",,R,DE L'UNION,HABIT,"21","1","2","MAIRIE 27/06/2023: PC affiché division de partielle travaux non commencés¶¶INSEE 26/06/2023: Merci de nous communiquer un numéro de permis lorsqu'il sera obtenu.¶INSEE 26/06/2023: Réception de l'arrêté de numérotation n°A2022_620 du 10/01/2023 : division de la parcelle cadastrée section AL0106, AL0152, AL0197, AL0105 en deux lots : ¶- Lot A : 28 rue Louis Léon Collignon (lot bâti) |¶- Lot B : 1 rue de l'Union (destiné à la construction).¶¶INSEE 17/05/2023: Nous n'avons pas d'arrêté de numérotation pour cette adresse. Merci de reprendre l'actualité de cette EA. ¶MAIRIE 18/01/2023: arrêté de numérotation envoyé gestionnaire","6",centre
O,"8",,R,DE L'AVIATION,HABIT,"23","9","4","MAIRIE 03/03/2023: fin été 2023 prévision fin travaux¶MAIRIE 02/12/2022: En travaux toiture¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour la construction de 9 logts, pas de numéro de parcelle cadastrale.¶Avant de rendre habitable, merci de vérifier l'adresse exacte attribuée à cette résidence ainsi que la positionnement et la réf cadastrale.¶Périmer les EA qui seront détruites suite à la nouvelle construction.","7",est
O,"1",,ALL,DES HETRES,HABIT,"23","15","3",MAIRIE 04/04/2023: travaux non commencés¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'construction nouvelle : construction d'un immeuble de 15 logements sur 5 étages'. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires.,"5",sudouest
O,"26",,R,LOUIS AUGUSTE BLANQUI,HABIT,"23","97","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (22, 24 et 26 rue Louis Auguste Blanqui, et 60 avenue Carnot). Merci de répartir les 97 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 97 logements au 26 rue Louis Auguste Blanqui, et 0 logement au 22 et 24 rue Louis Auguste Blanqui, et 0 logement au 60 avenue Carnot).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_052 du 27 février 2023, la numérotation du PC9301019B0030 (97 logements) est la suivante : ¶- Hall A : 22 rue Louis Auguste Blanqui | ¶- Hall B : 24 rue Louis Auguste Blanqui | ¶- Hall C : 26 rue Louis Auguste Blanqui | ¶- Hall D : 60 avenue Carnot.¶¶MAIRIE 11/04/2023: travaux en cours de finition¶MAIRIE 01/12/2022: Travaux en cours 5 étages fini dans 6 mois¶MAIRIE 06/04/2022: 2 étages.déjà construits -  à la place du numéro 20 -30","6",centre
O,"22",,R,LOUIS AUGUSTE BLANQUI,HABIT,"23","0","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (22, 24 et 26 rue Louis Auguste Blanqui, et 60 avenue Carnot). Merci de répartir les 97 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 97 logements au 26 rue Louis Auguste Blanqui, et 0 logement au 22 et 24 rue Louis Auguste Blanqui, et 0 logement au 60 avenue Carnot).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_052 du 27 février 2023, la numérotation du PC9301019B0030 (97 logements) est la suivante : ¶- Hall A : 22 rue Louis Auguste Blanqui | ¶- Hall B : 24 rue Louis Auguste Blanqui | ¶- Hall C : 26 rue Louis Auguste Blanqui | ¶- Hall D : 60 avenue Carnot.¶¶MAIRIE 11/04/2023: travaux en cours de finition¶MAIRIE 01/12/2022: Travaux en cours 5 étages fini dans 6 mois¶MAIRIE 06/04/2022: 2 étages.déjà construits -  à la place du numéro 20 -30","6",centre
O,"24",,R,LOUIS AUGUSTE BLANQUI,HABIT,"23","0","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (22, 24 et 26 rue Louis Auguste Blanqui, et 60 avenue Carnot). Merci de répartir les 97 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 97 logements au 26 rue Louis Auguste Blanqui, et 0 logement au 22 et 24 rue Louis Auguste Blanqui, et 0 logement au 60 avenue Carnot).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_052 du 27 février 2023, la numérotation du PC9301019B0030 (97 logements) est la suivante : ¶- Hall A : 22 rue Louis Auguste Blanqui | ¶- Hall B : 24 rue Louis Auguste Blanqui | ¶- Hall C : 26 rue Louis Auguste Blanqui | ¶- Hall D : 60 avenue Carnot.¶¶MAIRIE 11/04/2023: travaux en cours de finition¶MAIRIE 01/12/2022: Travaux en cours 5 étages fini dans 6 mois¶MAIRIE 06/04/2022: 2 étages.déjà construits -  à la place du numéro 20 -30","6",centre
O,"60",,AV,CARNOT,HABIT,"23","0","3","INSEE 15/05/2023: Le nombre de logements est donné pour l'ensemble du permis qui comporte 4 EA (22, 24 et 26 rue Louis Auguste Blanqui, et 60 avenue Carnot). Merci de répartir les 97 logements sur ces 4 EA quand la répartition sera connue (par défaut, nous avons mis 97 logements au 26 rue Louis Auguste Blanqui, et 0 logement au 22 et 24 rue Louis Auguste Blanqui, et 0 logement au 60 avenue Carnot).¶¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_052 du 27 février 2023, la numérotation du PC9301019B0030 (97 logements) est la suivante : ¶- Hall A : 22 rue Louis Auguste Blanqui | ¶- Hall B : 24 rue Louis Auguste Blanqui | ¶- Hall C : 26 rue Louis Auguste Blanqui | ¶- Hall D : 60 avenue Carnot.¶¶MAIRIE 11/04/2023: travaux en cours de finition¶MAIRIE 01/12/2022: Travaux en cours 5 étages fini dans 6 mois¶MAIRIE 06/04/2022: 2 étages.déjà construits -  à la place du numéro 20 -30","6",centre
O,"10",,AV,MARX DORMOY,HABIT,"23","85","2",INSEE 03/08/2023: Le permis indique la réalisation d'un programme immobilier de 85 logements en action sociale (+ un local commercial). Merci de vérifier l'actualité et le positionnement de l'entité adressée.,"9",nord est
O,"24",,AV,DENISE,HABIT,"21","1","2","INSEE 03/08/2023: Une EA existe déjà à cette adresse. Le permis indique la construction d'une maison individuelle, et 1 logement démoli. ¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Faut-il modifier l'adresse de la nouvelle EA ? Merci de faire les modifications nécessaires.","6",centre
O,"14",,R,LUCIEN CHAPELAIN,HABIT,"23","2","2",INSEE 03/08/2023: Le permis indique la construction d'une maison famliale de deux logements. Merci de vérifier l'actualité et le positionnement de l'entité adressée.,"9",nord est
O,"54",,R,DE MEAUX,HABIT,"22","2","2","INSEE 03/08/2023: Une EA existe déjà à cette adresse. Le permis indique la création d'une extension et de 2 logements. ¶Faut-il modifier le nombre de logement de l’EA existante, une fois les travaux terminés ? Faut-il modifier l'adresse de la nouvelle EA et conserver l'ancienne ? Merci de faire les modifications nécessaires.","10",nord
O,"25",BIS,R,DU CYCLE,HABIT,"21","1","4","INSEE 03/08/2023: Le permis indique la construction d'une maison individuelle (R+1). Merci de vérifier l'actualité, l'adresse et le positionnement de l'entité adressée.¶INSEE 03/08/2023: DAACT 26/06/2023.","7",est
O,"25",,R,DU CYCLE,HABIT,"21","1","0",INSEE 03/08/2023 : Cette EA a été détruite (ancienne EA). Merci de la périmer.,"7",est
O,"25",,R,DU CYCLE,HABIT,"21","1","4","INSEE 03/08/2023: Cette EA correspond à la nouvelle construction. Si elle est habitable, merci de l'activer.  ¶INSEE 03/08/2023:  DAACT 26/06/2023¶MAIRIE 12/04/2023: maison détruite¶INSEE 08/12/2022: Une EA existe déjà à cette adresse. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires selon le cas.","7",est
O,"0",,R,NADIA MURAD,HABIT,"23","136","3","INSEE 06/10/2023: Adresse dont il faut revoir le dégroupement (nombre de logements par adresse + adressage complet des bâtiments).¶Pour rappel, vous indiquiez 'MAIRIE 17/07/2023: dégroupement 7 rue nadia murad, bat 100 (12 BAL) et bat 200 (au 7 toujours) (14 BAL) - bat 300 et 400 (46 BAL) au 2 gisèle Halimi, bat 500 (15 BAL) au 2 g. halimi également, au 5 simone veil bat 600 (26 bal).' ¶¶INSEE 26/04/2023: Îlot C8 : ¶1-3-5-7 rue Simone Veil + 5-7 rue Nadia Murad + 2-4 rue Gisèle Halimi + 1-3 quai Hubertine Auclert. ¶Merci de nous communiquer le dégroupement lorsqu'il sera connu (adresse + bâtiment + nombre de logements).¶MAIRIE 11/04/2023: à revoir dans 6 mois¶MAIRIE 09/12/2022: Idem¶MAIRIE 19/05/2022: idem¶INSEE 23/09/2021: LOT C08 ZAC DES RIVES DE L'OURCQ¶MAIRIE 03/03/2021:  Immeubles en cours de construction¶INSEE 05/09/2019: Création EA suite 1er flux de pc je l'ai plaçe a la ref cadastrale une EA existe déjà merci de la périmer si necessaire .¶MAIRIE 23/06/2020:   Construction en cours","8",zac
