,"fin","Freq","Sel"
"1","_PRESENTATION-200",141,
"2","0",1337,
"3","0-PH-BATI",1,
"4","0-PH-MOB",18,
"5","0-PH-SOL-FIL D_O-EXIST",3,
"6","0-PH-TXT-BATI-EXIST",26,
"7","0-PH-TXT-MAT EXIST",23,
"8","0-PH-TXT-VOIE EXIST",16,
"9","0-RÃÂ©seaux DÃÂ©posÃÂ©s",36,"O"
"10","0-Z",214,
"11","0 - DÃÂ©pose",1103,
"12","0 - legende",4,
"13","0 - prÃÂ©sentation",2,
"14","000_AME_BASE_VIE",10,
"15","000_AME_D_axes",1,
"16","000_AME_D_bordure_granit",1,
"17","000_AME_D_candelabre",182,
"18","000_AME_D_fosses",23,
"19","000_AME_D_marquage_sol",139,
"20","000_AME_D_mobilier",238,
"21","000_AME_D_secteur_visible",4,
"22","000_AME_DETAIL",1260,
"23","000_AME_H_SOLS",47,
"24","000_AME_RESEAUX_S3",22,0
"25","000_AME_signalisation",115,
"26","1ASS - objet",23,
"27","1N - point",115,
"28","1RE - OBJ -  ass unit",2,
"29","1RE - RES -  ass unit",27,
"30","1RP - OUV - gÃÂ©nÃÂ©ral",25,
"31","1RP - RES - ass ep",38,
"32","1RP - RES - eclairage",11,
"33","1RP - RES - Fourreau",18,0
"34","a2856_PRU_Lambert93$0$GEO mob urb s",2,
"35","a2856_PRU_Lambert93$0$GEO tel s",4,
"36","AEP",36,
"37","ALTITU_E",367,
"38","ALTITU_E_plaque",1,
"39","ALTITU_T",405,
"40","AME_C_Cartouche",18,
"41","AME_D_MATERIAUX",97,
"42","ARBRES_S",863,
"43","ASS-CANA",46,
"44","ASS-TXT",13,
"45","ASSAIN_S",493,
"46","BARIERE",7234,
"47","BATIME_E",279,
"48","BATIME_H",6,
"49","BORDURE",126,
"50","BORDURETTE",22,
"51","BOUCHE DE LAVAGE",4,
"52","CADASTRE",4,
"53","CANIVEAU",14,
"54","Cartouche",15,
"55","CF-FON-CADASTRE-DIGITALISE",169,
"56","CF-FON-CADASTRE-TXT",3,
"57","CF-FON-NOM-DE-VOISIN",3,
"58","CF-FON-NUMERO-VOIRIE",17,
"59","CF-HAB-FLECHE-NORD",7,
"60","CF-TOPO-ALTITUDE-SEUIL",208,
"61","CF-TOPO-ALTITUDE-TN",168,
"62","CF-TOPO-ALTITUDE-VOIRIE",1904,
"63","CF-TOPO-ASS-EP",142,
"64","CF-TOPO-ASS-EP-ALT",13,
"65","CF-TOPO-AUTRE-RES",65,"O"
"66","CF-TOPO-BATI",314,
"67","CF-TOPO-BATI-HACHURAGE",313,
"68","CF-TOPO-BATI-TXT",8,
"69","CF-TOPO-EAU",255,
"70","CF-TOPO-ECL-SIGNAL",624,
"71","CF-TOPO-EDF",443,"O"
"72","CF-TOPO-GDF",141,"O"
"73","CF-TOPO-INFO_G",60,
"74","CF-TOPO-MOBILIER-FIXE",909,
"75","CF-TOPO-MOBILIER-LEGER",60,
"76","CF-TOPO-MOBILIER-TXT",6,
"77","CF-TOPO-MUR-CLOTURE",1747,
"78","CF-TOPO-NATURE-MATERIAUX",24,
"79","CF-TOPO-NATURE-MATERIAUX-TXT",109,
"80","CF-TOPO-NOM-DE-LIEUX",3,
"81","CF-TOPO-NOM-DE-RUE",29,
"82","CF-TOPO-PTT",70,"O"
"83","CF-TOPO-RATP",6,
"84","CF-TOPO-REPERE-STATION_G",5,
"85","CF-TOPO-SIGNAL-HORIZONTALE",312,
"86","CF-TOPO-SIGNAL-NON-ELECT",229,
"87","CF-TOPO-TAMPON",97,
"88","CF-TOPO-TAMPON-ALT",185,
"89","CF-TOPO-TELECOM",9,"O"
"90","CF-TOPO-VEGETATION",336,
"91","CF-TOPO-VOIRIE",506,
"92","CLOTUR_E",371,
"93","Cloture",237,
"94","CONTOURE SURFACE",117,
"95","COUSSIN BERLINOIS",6,
"96","DALLE-PODOTACTILE",51,
"97","Defpoints",18,
"98","EAU",8,
"99","EAU_S",18,
"100","ECL-FRX",11,
"101","ECL-TXT",4,
"102","Eclairage",140,
"103","EJL_DICT_EDF",5957,
"104","EJL_Recol-Ptt",97,
"105","EJL_Recol_Bouche-de-lavage",5,
"106","EJL_Recol_Chambre",16,"O"
"107","ELECTR_S",24,"O"
"108","EP",17,"O"
"109","ESC_E",14,
"110","FEU",15,
"111","FT-1",1,
"112","GAZ",22,
"113","GAZ____S",14,
"114","GEO aep s",108,
"115","GEO ALTI-PIC",2,
"116","GEO ALTICOT",308,
"117","GEO arbres",50,
"118","GEO bati dur",5,
"119","GEO bati hachure",1,
"120","GEO bati numero",14,
"121","GEO bati s",105,
"122","GEO bati seuil",6,
"123","GEO change revet",40,
"124","GEO change revet texte",14,
"125","GEO cloture",1,
"126","GEO cloture s",4,
"127","GEO divers",113,
"128","GEO ecl s",34,
"129","GEO edf s",62,
"130","GEO entree",112,
"131","GEO ep s",38,
"132","GEO gdf s",85,
"133","GEO ligne cont",10,
"134","GEO ligne parking",1,
"135","GEO mob urb s",107,
"136","GEO mur",112,
"137","GEO mur hachure",11,
"138","GEO mur s",20,
"139","GEO panneau",74,
"140","GEO regard",22,
"141","GEO tel s",48,
"142","GEO trottoir bas",6,
"143","GEO trottoir bateau",3,
"144","GEO trottoir haut",1,
"145","GRILLE-EP",14,
"146","IDENTI_E",12,
"147","LAMPAD_S",142,
"148","LEGENDE",30,
"149","LIMITE_REVETEMENT",14,
"150","LZ1_0",2789,
"151","MARQUA_E",258,
"152","MARQUAGE",121,
"153","MOB-URB",4,
"154","MOBURB_E",10,
"155","MOBURB_S",230,
"156","MURS___E",258,
"157","N",2,
"158","OBJET_DIVERS",4,
"159","OBJET_GAZ",7,
"160","OBJET_SIGN_TRI",1,
"161","OBJET_TELECOM",6,0
"162","Panneaux",33,
"163","PASSAGE SURELEVE",8,
"164","PORTE-VELO",9,
"165","POTELET",57,
"166","PROJET",54,
"167","PTS-3D",526,
"168","PTT-CHAMBRE",7,0
"169","PTT-FRX",9,0
"170","PTT-TXT",5,0
"171","REGARD",6,
"172","REV-BETON",7,
"173","REV-ENROBE NOIR",36,
"174","REV-ENROBE ROUGE",10,
"175","REV-ESPACE VERT",11,
"176","REV-GNT",3,
"177","sens de circulation",6,
"178","SIGNAL-VERTICA",5,
"179","SIGNAL_S",54,
"180","STATION",9,
"181","stationnement",7,
"182","SURPLOMB_E",70,
"183","TELECO_S",54,0
"184","Terrain - Points",231,
"185","Terrain_Points",463,
"186","TEXTE_E",65,
"187","Topographie - Textes - Altitudes",354,
"188","Topographie - Textes - NumÃÂ©ros",231,
"189","Topographie_Points Polaires",526,
"190","TopoPts_G",777,
"191","TXT",2,
"192","TXT-Z",168,
"193","TXT_Z",75,
"194","VÃÂ©gÃÂ©tation",6,
"195","VEGETA_E",18,
"196","VEGETE_H",3459,
"197","VILLE GARE-ASSAINISSEMENT",522,
"198","VILLE GARE-BATI",71,
"199","VILLE GARE-DESSIN",1007,
"200","VILLE GARE-Eau",129,
"201","VILLE GARE-HACHURES",11,
"202","VILLE GARE-MOBILIER",538,
"203","VILLE GARE-Signalisations",360,
"204","VILLE GARE-TEXTE",43,
"205","VILLE GARE-VEGET",7345,
"206","VILLE GARE-VOIES",65,
"207","VILLE GARE-Z",553,
"208","VOIRIE_E",318,
"209","VOIRIE_T",3,
