num photo;jour;adresse;type d'infraction;type de place;observation;enlevé (oui/non)
534;16/09/2024;6 rue Francois Villon;gênant;- - - autre;ventouse;non
544;16/09/2024;8 avenue Maurice Benhamou;gênant;- - - autre;ventouse;non
547;16/09/2024;6 rue Francois Villon;gênant;- - - autre;ventouse;non
610;16/09/2024;6 rue Francois Villon;gênant;- - - autre;ventouse;non
618;16/09/2024;8 avenue Maurice Benhamou;gênant;- - - autre;ventouse;non
631;16/09/2024;60 rue de Meaux;gênant;- - - autre;ventouse;non
638;16/09/2024;40 rue promenade;gênant;- - - autre;ventouse;non
645;16/09/2024;60 rue de Meaux;gênant;- - - autre;ventouse;non
828;16/09/2024;6 avenue de la parisienne;gênant;- - - autre;ventouse;non
842;16/09/2024;6 avenue de la parisienne;gênant;- - - autre;ventouse;non
909;16/09/2024;11 avenue Maurice Benhamou;gênant;- - - autre;ventouse;non
919;16/09/2024;04 avenue Varagnat;gênant;- - - autre;ventouse;non
920;16/09/2024;40 rue promenade;gênant;- - - autre;ventouse;non
928;16/09/2024;6 avenue de la parisienne;gênant;- - - autre;ventouse;non
956;16/09/2024;13 avenue Maurice Benhamou;gênant;- - - autre;ventouse;non
Ventouse 1;14/10/2024;193 rue Auguste Blanqui;gênant;- - - autre;ventouse;non
Ventouse 10;14/10/2024;07 bis allée Corneille;gênant;- - - autre;ventouse;oui
Ventouse 11;14/10/2024;189-193- rue Auguste Blanqui;gênant;- - - autre;ventouse;non
Ventouse 12;14/10/2024;35 allée de la paix;gênant;- - - autre;ventouse;oui
Ventouse 13;14/10/2024;16 rue Raoul;gênant;- - - autre;ventouse;non
Ventouse 14;14/10/2024;33 rue du professeur Vaillant;gênant;- - - autre;ventouse;non
Ventouse 15;14/10/2024;17 rue des droits de l'homme;gênant;- - - autre;ventouse;non
Ventouse 16;14/10/2024;26 rue Michelet;gênant;- - - autre;ventouse;non
Ventouse 17;14/10/2024;30 rue Michelet;gênant;- - - autre;ventouse;non
Ventouse 18;14/10/2024;145 rue Baudin;gênant;- - - autre;ventouse;non
Ventouse 19;14/10/2024;66 rue du vieux moulin;gênant;- - - autre;ventouse;non
Ventouse 2;14/10/2024;Place Edith Piaf;gênant;- - - autre;ventouse;non
Ventouse 20;14/10/2024;11 avenue de Verdun;gênant;- - - autre;ventouse;oui
Ventouse 21;14/10/2024;43 rue des 5 ormes;gênant;- - - autre;ventouse;non
Ventouse 22;14/10/2024;39 avenue de Verdun;gênant;- - - autre;ventouse;oui
Ventouse 23;14/10/2024;4 rue Béranger;gênant;- - - autre;ventouse;oui
Ventouse 24;14/10/2024;2 rue de préssensé;gênant;- - - autre;ventouse;oui
Ventouse 25;14/10/2024;52 rue Louis Auguste Blanqui;gênant;- - - autre;ventouse;non
Ventouse 26;14/10/2024;52 rue Louis Auguste Blanqui;gênant;- - - autre;ventouse;non
Ventouse 27;14/10/2024;17 rue César Delaine;gênant;- - - autre;ventouse;oui
Ventouse 3;14/10/2024;30 allée de l'orme;gênant;- - - autre;ventouse;non
Ventouse 4;14/10/2024;06 avenue de Metz;gênant;- - - autre;ventouse;non
Ventouse 5;14/10/2024;09 rue Marcel Dassault;gênant;- - - autre;ventouse;non
Ventouse 6;14/10/2024;07 rue Jules Ferry;gênant;- - - autre;ventouse;oui
Ventouse 7;14/10/2024;03 villa Madeleine;gênant;- - - autre;ventouse;oui
Ventouse 8;14/10/2024;76 rue Edouard Vaillant;gênant;- - - autre;ventouse;oui
Ventouse 9;14/10/2024;13 rue de l'union;gênant;- - - autre;ventouse;oui
Ventouse 28;12/12/2024;Rue René Char;gênant;- - - autre;ventouse;non
Ventouse 29;12/12/2024;Rue René Char;gênant;- - - autre;ventouse;non
27;18/12/2024;;;;;
117;18/12/2024;;;;;
123;18/12/2024;;;;;
254;18/12/2024;;;;;
318;18/12/2024;;;;;
334;18/12/2024;;;;;
422;18/12/2024;;;;;
429;18/12/2024;;;;;
505;18/12/2024;;;;;
533;18/12/2024;;;;;
836;18/12/2024;;;;;
856;18/12/2024;;;;;
104;19/12/2024;;;;;
112;19/12/2024;;;;;
121;19/12/2024;;;;;
131;19/12/2024;;;;;
141;19/12/2024;;;;;
244;19/12/2024;;;;;
246;19/12/2024;;;;;
247;19/12/2024;;;;;
250;19/12/2024;;;;;
