Nbre;Intitulé;Noms;Commençant;Finissant;Classement;Voies;"Longueur en mètres
environ";verif;;;
70;Allée;Condorcet;Avenue Marie Curie;en impasse;01.07.2002;"V. P
Appolonia";67;ok;;;
207;Allée;Louise Michel;Avenue Marie Curie;en Impasse;01.07.2002;"V. P
Appolonia";73;ok;;;
208;Allée;Louise Weiss;Rue Edouard Vaillant;"Allée Louise
Michel";01.07.2002;"V. P
Appolonia";51;ok;;;
281;Allée ;Poque;Avenue des Sciences;en Impasse;;V. P;103;ok;;;
132;Place;Gauguin Paul;Rue Edouard Vaillant;sur une place;;V. P;32 m²;?;;;
23;Rue;Baudelaire;"Avenue du
Quatorze Juillet";"Rue François
Villon";;"V. P
( 3F )";108;ok;;;
46;Rue;Caraque;Rue des Escholiers;"Avenue Léon
Jouhaux";;"V. P
( 3F )";150;supprimé;;;
144;Rue;Grandgousier;Rue Caraque;Rue Caraque;;"V. P
( 3F )";90;supprimé;;;
308;Rue;Rol Tanguy;Rue Paul Renaud;"Rue Lucie
Aubrac";;V.P;150;ok;;;
309;Rue;Ronsard;Rue François Villon;"Avenue du
Quatorze Juillet";;V. P;180;ok;;;
274;Rue ;Picrochole;Avenue Léon Jouhaux;"Rue du Fer
à Cheval";;"V. P
( 3F )";100;supprimé;;;
86;Rue du;"Domaine de
Groslay";Chemin de Groslay;en Impasse;;V. P;37;?;;;
224;Sente;Marie Laurencin;Rue Marguerite Duras;en Impasse;;V. P;60 m;ok;;;
3;Square  ;Alcacer Do Sol;Rue René Dumont;"Sente Pierre
Bourdieu";;V.P ;2130 m²;?;;;
263;Allée          de la ;"Passe aux
Daims";Rue Picrochole;"Rue du Fer
à Cheval";;"V. P
( 3F )";50;détruite;;;
6;Allée;"Alexandre
Marthe";"Rue Louis Auguste
Blanqui";en Impasse;;V. P;118;ok;;;
60;Allée;Charles Magne;Allée Corneille;Allée Boileau;;V. P;198;ok;;;
164;Allée;"Dominique
Ingres";Allée Manet;Allée Goya;;V. P;23;ok;;;
105;Allée;"Eugéne
Delacroix";Rue Raphaël;Allée Watteau;;V. P;45;ok;;;
126;Allée;Gabrielle;Rue Edouard Vaillant;"Rue Edouard
Vaillant";01.07.2002;"V. P
Windsor";245;ok;;;
170;Allée;Jean Courtade;"Avenue de la
République";en Impasse;;V. P;87;ok;;;
181;Allée;Joachim du Bellay;Allée Charles Magne;en Impasse;;V. P;74;ok;;;
211;Allée;Manet Edouard;Rue Edouard Vaillant;en Impasse;;V. P;70;ok;;;
222;Allée;Maria Deraimes;"Avenue  Geneviève
Anthonioz de Gaulle";Allée Gabrielle;01.07.2002;"V. P
Windsor";99;ok;;;
226;Allée;Maryse Bastie ;"Avenue Geneviève
Anthonioz de Gaulle";Allée Gabrielle;01.07.2002;"VP
Windsor";87;ok;;;
241;Allée;"Mignard
(Nicolas )";Allée Millet;en Impasse;;V. P;22;ok;;;
293;Allée;"Raffaéllo
Raphael";Rue Edouard Vaillant;Place Gaugin;;V.P;40;ok;;;
348;Allée;Victor Hugo;Avenue Marie Curie;en Impasse;01.07.2002;"V. P
Appolonia";91;ok;;;
359;Allée;"Watteau
Antoine";Rue Edouard Vaillant;en Impasse;;V. P;85;ok;;;
59;Allée ;"Charles
Gounod";Rue de la Liberté;en Impasse;;V. P;93;ok;;;
66;Allée ;"Claude
Debussy";Rue Edouard Vaillant;en Impasse;;V. P;84;ok;;;
124;Allée ;Gabriel Fauré;Rue de la Liberté;en Impasse;;V. P;135;ok;;;
143;Allée ;Goya Francisco;Place Gaugin;en Impasse;;V. P;30;ok;;;
152;Allée ;Hector Berlioz;Rue de la Liberté;en Impasse;;V. P;135;ok;;;
242;Allée ;"Millet
(Jean Francois )";Place Gaugin;en Impasse;;V. P;81;ok;;;
123;Allée de ;Furci;"Rue Louis
Auguste
Blanqui";Rue Bordier;;"V. P
Bondy
Habitat";80;ok;;;
76;Allée des;Dahlias;Route d’Aulnay;en Impasse;;V. P;126;ok;;;
96;Allée des;Erables;Allée Surcouf;"Allée des
Sycomores";;V. P;252;ok;;;
115;Allée des;Fougères;Rue Henri Mouly;En Impasse;;V. P;78;ok;;;
122;Allée des;Frênes;Rue du Verger;en Impasse;;V. P;100;ok;;;
141;Allée des;Glaieuls;Rue François Martin;en Impasse;;V. P;74;ok;;;
142;Allée des;Glycines;Rue François Martin;en Impasse;;V. P;75;ok;;;
165;Allée des;Iris;Allée des Anémones;"Place des
Fleurs";;V. P;75;ok;;;
192;Allée des;Lauriers;Rue François Martin;"Rue Henri
Mouly";;V. P;58;ok;;;
259;Allée des;Paquerettes;Avenue Pasteur;"Allée des
Paquerettes";;V. P;110;ok;;;
270;Allée des;Pensées;Allée des Paquerettes;"Allée des
Orchidées";;V. P ;70;ok;;;
301;Allée des;Renoncules;"Avenue Henri
Barbusse";"Place des
Fleurs";;"V. P
SCIC";190;ok;;;
310;Allée des;Roses;Rue François Martin;en Impasse;;V. P;74;ok;;;
328;Allée des;Sorbiers;Rue du Verger;en Impasse;;V. P;135;ok;;;
13;Allée des ;Anémones;Avenue Pasteur;en Impasse;;"V.P
ICADE
PATRIMOINE";130;ok;;;
22;Allée des ;Azalées;"Rue François
Martin";en Impasse;;V. P;37;ok;;;
40;Allée des ;Bouleaux;Allée Surcouf;en Impasse;;V. P;60;ok;;;
161;Allée des ;Hortensias;Rue François Martin;en Impasse;;V. P;74;ok;;;
201;Allée des ;Lilas;Avenue Pasteur;"Place des
Fleurs";;"V. P
SCIC";90;ok;;;
254;Allée des ;Orchidées;Avenue Pasteur;"Avenue du
Maréchal de
Lattre de
Tassigny";;V. P;200;ok;;;
285;Allée des ;Primevères;"Avenue Henri
Barbusse";"Place des
Fleurs";;"V. P
SCIC";340;ok;;;
333;Allée des ;Sycomores;Rond Point du Verger;"Allée des
Erables";;V. P;170;ok;;;
342;Allée des ;Tulipes;Rue François Martin;"Rue Henri
Mouly";;V. P;58;ok;;;
82;"Allée
de la";Devinière;Rue du Fer à Cheval;Rue Picrochole;;V. P ;100;ok;;;
107;"Allée
de la";Fauvette;Rue Edouard Vaillant;en Impasse;;V. P;172;ok;;;
134;Avenue;"Geneviève Anthonioz
de Gaulle";Avenue des Sciences;"Rue Edouard
Vaillant";01.07.2002;"V. P
Windsor
Appolonia";360;ok;;;
196;Avenue;Léon Jouhaux;Rond Point Léon Blum;"Rue du Fer
à Cheval";20.01.1961;V. P;382;ok;;;
223;Avenue;Marie Curie;Rue Edouard Vaillant;"Avenue
Geneviève
Anthonioz
de Gaulle";01.07.2002;"V. P
Appolonia";162;ok;;;
