"","NOM_1_G","case"
"186","AV DENISE","3B"
"84","AV DES MESARMES","3D"
"84.1","AV DES MESARMES","3E"
"222","AV DES PLATANES","2B"
"76","AV DES SCIENCES","4B"
"387","AV DU QUATORZE JUILLET","3E"
"387.1","AV DU QUATORZE JUILLET","4E"
"387.2","AV DU QUATORZE JUILLET","4F"
"187","AV DUMESNIL","4B"
"72","AV GALLIENI","1D"
"72.1","AV GALLIENI","2D"
"72.2","AV GALLIENI","3D"
"72.3","AV GALLIENI","4D"
"201","AV GENEVIEVE ANTHONIOZ DE GAULLE","3B"
"201.1","AV GENEVIEVE ANTHONIOZ DE GAULLE","4B"
"203","AV GUEUGNON","2D"
"203.1","AV GUEUGNON","3D"
"330","AV HENRI BARBUSSE","3C"
"332","AV HENRI BARBUSSE","3C"
"332.1","AV HENRI BARBUSSE","4C"
"376","AV HENRI VARAGNAT","2E"
"376.1","AV HENRI VARAGNAT","3E"
"376.2","AV HENRI VARAGNAT","3F"
"281","AV JEAN LEBAS","2E"
"363","AV JEAN MOULIN","2E"
"198","AV JULES FERRY","2B"
"273","AV LEON BLUM","2E"
"273.1","AV LEON BLUM","2F"
"333","AV LEON JOUHAUX","2F"
"333.1","AV LEON JOUHAUX","3F"
"377","AV MAL DE LATTRE DE TASSIGNY","3C"
"377.1","AV MAL DE LATTRE DE TASSIGNY","3D"
"80","AV MARGUERITE","3D"
"128","AV MARIE CURIE","3B"
"349","AV MARX DORMOY","2E"
"349.1","AV MARX DORMOY","3E"
"302","AV MAURICE BENHAMOU","2E"
"302.1","AV MAURICE BENHAMOU","3E"
"10","AV PASTEUR","3C"
"10.1","AV PASTEUR","3D"
"7","AV ROUGET DE LISLE","3B"
"362","AV SUZANNE BUISSON","2E"
"362.1","AV SUZANNE BUISSON","3E"
"83","CH DE LA MARE A LA VEUVE","1A"
"83.1","CH DE LA MARE A LA VEUVE","2A"
"371","CH DES CARROUGES","2A"
"383","CHE DE GROSLAY","1D"
"383.1","CHE DE GROSLAY","2D"
"383.2","CHE DE GROSLAY","2E"
"383.3","CHE DE GROSLAY","2F"
"234","CHE DE LA MARE A LA VEUVE PROLONGEE","2A"
"234.1","CHE DE LA MARE A LA VEUVE PROLONGEE","2B"
"53","CHE DE MONTREUIL A CLAYE","1A"
"53.1","CHE DE MONTREUIL A CLAYE","1B"
"306","CHE DU MERLAN","1B"
"306.1","CHE DU MERLAN","2B"
"266","CHE DU PONT","3D"
"70","CHE LATERAL","1D"
"70.1","CHE LATERAL","2D"
"43","CITE DES SAULES","3C"
"101","CRS DE LA REPUBLIQUE","2C"
"372","D78","2F"
"272","IMP CARNOT","2C"
"216","IMP DE LA JARDINIERE","3E"
"350","IMP DE LA JARDINIERE","3E"
"261","IMP DE LA LIBERTE","3B"
"126","IMP DE LA PARISIENNE","3E"
"291","IMP DE LA SOLIDARITE","3B"
"161","IMP DES VIOLETTES","3D"
"210","IMP DU CASTEL","2A"
"49","IMP DU CASTEL","2B"
"218","IMP FERNAND POTTIER","2D"
"133","IMP GEORGES BRASSENS","3A"
"285","IMP JACQUES BREL","2A"
"269","IMP JEAN WIENER","3A"
"87","IMP RENE CLAIR","3A"
"25","MAIL MARIE-MADELEINE FOURCADE","2E"
"181","MAIL PANTAGRUEL","2F"
"181.1","MAIL PANTAGRUEL","3F"
"154","PAS DES DEUX VILLES","2E"
"366","PAS DU VERCORS","2E"
"366.1","PAS DU VERCORS","2F"
"123","PAS MICHELET","1C"
"123.1","PAS MICHELET","2C"
"271","PL ALBERT THOMAS","2C"
"19","PL ARTHUR RIMBAUD","2D"
"34","PL CHARLES DE GAULLE","2C"
"138","PL DE LA DIVISION LECLERC","2C"
"252","PL DE LA GARE","2B"
"147","PL DE LA REPUBLIQUE","2B"
"44","PL DES ECOLES","3C"
"98","PL DES FLEURS","3D"
"326","PL DU 11 NOVEMBRE 1918","2C"
"326.1","PL DU 11 NOVEMBRE 1918","3C"
"326.2","PL DU 11 NOVEMBRE 1918","2D"
"33","PL EUDEMON","2F"
"270","PL GEORGES LYSSANDRE","3C"
"92","PL NICOLE NEUBURGER","3C"
"92.1","PL NICOLE NEUBURGER","4C"
"92.2","PL NICOLE NEUBURGER","3D"
"92.3","PL NICOLE NEUBURGER","4D"
"23","PL SCHOELCHER","3F"
"386","PONT DE LA FORET","3D"
"386.1","PONT DE LA FORET","3E"
"347","QUAI HUBERTINE AUCLERT","1D"
"347.1","QUAI HUBERTINE AUCLERT","2D"
"347.2","QUAI HUBERTINE AUCLERT","3D"
"347.3","QUAI HUBERTINE AUCLERT","3E"
"282","R ALEXANDRA DAVID NEEL","3B"
"322","R AMEDEE GUYARD","4D"
"336","R ANDREI SAKHAROV","2F"
"336.1","R ANDREI SAKHAROV","3F"
"336.2","R ANDREI SAKHAROV","4F"
"235","R ARTHUR GROUSSIER","3D"
"235.1","R ARTHUR GROUSSIER","3E"
"170","R ARTHUR RIMBAUD","2D"
"335","R AUGUSTE POLISSARD","2C"
"335.1","R AUGUSTE POLISSARD","2D"
"64","R BAUDIN","1C"
"64.1","R BAUDIN","2C"
"148","R BEAUREGARD","2C"
"95","R BERANGER","4D"
"120","R BERNARD DE JUSSIEU","4C"
"250","R BORDIER","2B"
"250.1","R BORDIER","3B"
"250.2","R BORDIER","3C"
"239","R BOREL","3D"
"287","R CESAR DELAINE","4C"
"334","R CHARLES FERDINAND","3C"
"159","R CHARLES MAGNE","4B"
"194","R COMPAGNON","3D"
"194.1","R COMPAGNON","4D"
"231","R DAVID LEDER","2B"
"367","R DE BONDY","4A"
"142","R DE CRONSTADT","1C"
"268","R DE L'ABBE MAURICE BAURIT","3C"
"81","R DE L'AVIATION","4C"
"193","R DE L'EGALITE","2C"
"42","R DE L'UNION","3B"
"258","R DE LA BUTTE","4A"
"258.1","R DE LA BUTTE","4B"
"246","R DE LA FRATERNITE","2C"
"31","R DE LA LIBERTE","2B"
"31.1","R DE LA LIBERTE","3B"
"122","R DE LA PHILOSOPHIE","4A"
"122.1","R DE LA PHILOSOPHIE","4B"
"171","R DE LA SOLIDARITE","3B"
"171.1","R DE LA SOLIDARITE","3C"
"99","R DE LA TERRE SAINT-BLAISE","2F"
"99.1","R DE LA TERRE SAINT-BLAISE","3F"
