"","NATURE","NOM_1_G","case","creche"
"251","Chemin","CHE DE MONTREUIL A CLAYE","1A","Cabane des petits"
"264","Route à 1 chaussée","CH DE LA MARE A LA VEUVE","1A","Cabane des petits"
"234","Route à 1 chaussée","R DU MIDI","2A","Cabane des petits"
"264.1","Route à 1 chaussée","CH DE LA MARE A LA VEUVE","2A","Cabane des petits"
"281","Route à 1 chaussée","AV DE BELFORT","2A","Cabane des petits"
"294","Route à 1 chaussée","AV DE L'EST","2A","Cabane des petits"
"300","Route à 1 chaussée","AV DE METZ","2A","Cabane des petits"
"320","Route à 1 chaussée","R MARCEL DASSAULT","2A","Cabane des petits"
"329","Route à 1 chaussée","IMP DU CASTEL","2A","Cabane des petits"
"343","Chemin","CHE DE LA MARE A LA VEUVE PROLONGEE","2A","Cabane des petits"
"370","Route à 1 chaussée","IMP JACQUES BREL","2A","Cabane des petits"
"378","Route à 1 chaussée","R JOE CARMAN","2A","Cabane des petits"
"394","Route à 1 chaussée","ALL DE L'ORME","2A","Cabane des petits"
"400","Sentier","","2A","Cabane des petits"
"402","Route à 1 chaussée","R ETIENNE DOLET","2A","Cabane des petits"
"405","Route à 2 chaussées","CH DES CARROUGES","2A","Cabane des petits"
"229","Route à 1 chaussée","RTE DE VILLEMOMBLE","3A","Cabane des petits"
"231","Route à 1 chaussée","R DU CHEMIN DE FER PROLONGEE","3A","Cabane des petits"
"233","Sentier","SEN RENE CHAR","3A","Cabane des petits"
"235","Route à 1 chaussée","ALL DE L'ETOILE","3A","Cabane des petits"
"258","Route à 1 chaussée","ALL DES COQUELICOTS","3A","Cabane des petits"
"263","Sentier","R JEAN MONNET","3A","Cabane des petits"
"267","Route à 1 chaussée","IMP RENE CLAIR","3A","Cabane des petits"
"281.1","Route à 1 chaussée","AV DE BELFORT","3A","Cabane des petits"
"292","Route à 1 chaussée","IMP GEORGES BRASSENS","3A","Cabane des petits"
"294.1","Route à 1 chaussée","AV DE L'EST","3A","Cabane des petits"
"300.1","Route à 1 chaussée","AV DE METZ","3A","Cabane des petits"
"307","Route à 1 chaussée","ALL DES PINSONS","3A","Cabane des petits"
"310","Route à 1 chaussée","ALL MONTPLAISIR","3A","Cabane des petits"
"319","Route à 1 chaussée","R RENE CHAR","3A","Cabane des petits"
"320.1","Route à 1 chaussée","R MARCEL DASSAULT","3A","Cabane des petits"
"335","Route à 1 chaussée","R PAULINE ROGER","3A","Cabane des petits"
"360","Route à 1 chaussée","IMP JEAN WIENER","3A","Cabane des petits"
"371","Route à 1 chaussée","ALL DU GROS BUISSON","3A","Cabane des petits"
"384","Route à 1 chaussée","R MARCEL PAUL","3A","Cabane des petits"
"389","Route à 1 chaussée","ALL DU MUGUET","3A","Cabane des petits"
"399","Sentier",NA,"3A","Cabane des petits"
"404","Route à 1 chaussée","R SAINT-LOUIS PROLONGEE","3A","Cabane des petits"
"231.1","Route à 1 chaussée","R DU CHEMIN DE FER PROLONGEE","4A","Cabane des petits"
"238","Route à 1 chaussée","ALL DES LETTRES","4A","Cabane des petits"
"285","Route à 1 chaussée","R DE LA PHILOSOPHIE","4A","Cabane des petits"
"311","Route à 1 chaussée","AV ANATOLE FRANCE","4A","Cabane des petits"
"356","Route à 1 chaussée","R DE LA BUTTE","4A","Cabane des petits"
"403","Route à 1 chaussée","R DE BONDY","4A","Cabane des petits"
"404.1","Route à 1 chaussée","R SAINT-LOUIS PROLONGEE","4A","Cabane des petits"
"251.1","Chemin","CHE DE MONTREUIL A CLAYE","1B","Cabane des petits"
"275","Route à 1 chaussée","R DU SERGENT BOBILLOT","1B","Cabane des petits"
"283","Route à 1 chaussée","VLA DES ABEILLES","1B","Cabane des petits"
"328","Route à 1 chaussée","R DU VIEUX MOULIN","1B","Cabane des petits"
"381","Route à 1 chaussée","CHE DU MERLAN","1B","Cabane des petits"
"229.1","Route à 1 chaussée","RTE DE VILLEMOMBLE","2B","Cabane des petits"
"234.1","Route à 1 chaussée","R DU MIDI","2B","Cabane des petits"
"236","Route empierrée","VLA DES MARRONNIERS","2B","Cabane des petits"
"239","Route à 1 chaussée","R DE LA LIBERTE","2B","Cabane des petits"
"240","Route à 1 chaussée","R ROGER SALENGRO (A PARTIR DE 31 et 68)","2B","Cabane des petits"
"244","Escalier","VLA DU BRECHET","2B","Cabane des petits"
"249","Route à 1 chaussée","IMP DU CASTEL","2B","Cabane des petits"
"253","Route à 1 chaussée","R DE VARSOVIE","2B","Cabane des petits"
"254","Route à 1 chaussée","VLA MADELEINE","2B","Cabane des petits"
"272","Route à 1 chaussée","ALL PAUL LAFARGUE","2B","Cabane des petits"
"275.1","Route à 1 chaussée","R DU SERGENT BOBILLOT","2B","Cabane des petits"
"278","Route à 1 chaussée","AV CARNOT (A PARTIR DE 56 / 59)","2B","Cabane des petits"
"281.2","Route à 1 chaussée","AV DE BELFORT","2B","Cabane des petits"
"288","Route à 1 chaussée","R DU CLOS VAILLANT","2B","Cabane des petits"
"294.2","Route à 1 chaussée","AV DE L'EST","2B","Cabane des petits"
"297","Rond-point","PL DE LA REPUBLIQUE","2B","Cabane des petits"
"305","Route à 1 chaussée","R DU VIEUX CHATEAU","2B","Cabane des petits"
"313","Route à 1 chaussée","ALL JEAN COURTADE","2B","Cabane des petits"
"318","Route à 1 chaussée","ALL SURCOUF","2B","Cabane des petits"
"322","Rond-point","AV JULES FERRY","2B","Cabane des petits"
"325","Route à 1 chaussée","R JULES LELONG","2B","Cabane des petits"
"328.1","Route à 1 chaussée","R DU VIEUX MOULIN","2B","Cabane des petits"
"335.1","Route à 1 chaussée","R PAULINE ROGER","2B","Cabane des petits"
"336","Route à 1 chaussée","AV DES PLATANES","2B","Cabane des petits"
"339","Route à 1 chaussée","AV DE LA REPUBLIQUE","2B","Cabane des petits"
"342","Route à 1 chaussée","R DAVID LEDER","2B","Cabane des petits"
"343.1","Chemin","CHE DE LA MARE A LA VEUVE PROLONGEE","2B","Cabane des petits"
"347","Route à 1 chaussée","ALL DES HETRES","2B","Cabane des petits"
"349","Route à 1 chaussée","ALL DU MOULIN","2B","Cabane des petits"
"350","Route à 1 chaussée","RPE DU PONT","2B","Cabane des petits"
"351","Route à 1 chaussée","R BORDIER","2B","Cabane des petits"
"352","Route à 1 chaussée","PL DE LA GARE","2B","Cabane des petits"
"357","Route à 1 chaussée","AV DE NANCY","2B","Cabane des petits"
"367","Route à 1 chaussée","R DU LION","2B","Cabane des petits"
"379","Route à 1 chaussée","R EDOUARD VAILLANT","2B","Cabane des petits"
"381.1","Route à 1 chaussée","CHE DU MERLAN","2B","Cabane des petits"
"386","Route à 1 chaussée","R DES PEUPLIERS","2B","Cabane des petits"
"394.1","Route à 1 chaussée","ALL DE L'ORME","2B","Cabane des petits"
"396","Sentier",NA,"2B","Cabane des petits"
"401","Sentier",NA,"2B","Cabane des petits"
"402.1","Route à 1 chaussée","R ETIENNE DOLET","2B","Cabane des petits"
"229.2","Route à 1 chaussée","RTE DE VILLEMOMBLE","3B","Cabane des petits"
"230","Route à 1 chaussée","AV ROUGET DE LISLE","3B","Cabane des petits"
"231.2","Route à 1 chaussée","R DU CHEMIN DE FER PROLONGEE","3B","Cabane des petits"
"235.1","Route à 1 chaussée","ALL DE L'ETOILE","3B","Cabane des petits"
"237","Sentier","1","3B","Cabane des petits"
"239.1","Route à 1 chaussée","R DE LA LIBERTE","3B","Cabane des petits"
"245","Route à 1 chaussée","R DE L'UNION","3B","Cabane des petits"
"250","Route à 1 chaussée","R MARTIN LUTHER KING","3B","Cabane des petits"
"254.1","Route à 1 chaussée","VLA MADELEINE","3B","Cabane des petits"
"255","Route à 1 chaussée","ALL DES TILLEULS","3B","Cabane des petits"
"256","Route à 1 chaussée","ALL MARIA DERAIMES","3B","Cabane des petits"
"258.1","Route à 1 chaussée","ALL DES COQUELICOTS","3B","Cabane des petits"
"260","Sentier","15","3B","Cabane des petits"
"261","Route à 1 chaussée","R LOUIS LEON COLLIGNON","3B","Cabane des petits"
"270","Route à 1 chaussée","ALL GABRIELLE","3B","Cabane des petits"
"272.1","Route à 1 chaussée","ALL PAUL LAFARGUE","3B","Cabane des petits"
"273","Route à 1 chaussée","ALL DE LA FAUVETTE","3B","Cabane des petits"
