X,Y,Compter - Colonne A,matriceDistance_Distance,identifiant
661284.64,6867082.4,"19","910.273266386751","2"
661291.81,6867097.25,"19","905.780540276253","3"
661302.54,6867113.26,"19","898.310755520006","4"
661310.14,6867132.42,"18","894.946382511251","5"
661319.09,6867147.26,"19","889.685358777148","6"
661325.54,6867170.75,"19","889.423484086979","7"
661325.7,6867194.67,"19","895.968918670951","8"
661328.97,6867213.07,"19","898.413093811879","9"
661338.51,6867229.48,"19","894.662696648254","10"
661343.39,6867240.82,"19","893.905321544639","11"
661370.2,6867222.1,"19","862.323853387227","12"
661425.63,6866298.6,"10","987.453834444118","13"
661441.3,6866289.48,"10","981.447770037238","14"
661453.85,6866283.91,"10","975.699437610437","15"
661454.79,6866353.04,"42","930.418786186344","16"
661461.56,6866367.9,"43","915.893228254091","17"
661463.27,6866280.31,"10","971.099545979759","18"
661472.72,6866388.61,"43","894.383508455659","19"
661474.64,6866275.53,"10","965.954363969371","20"
661485.81,6866269.18,"10","962.167203301865","21"
661498.5,6867245.1,"21","751.965155845928","22"
661518.39,6866259.16,"9","945.95297732998","23"
661522.41,6866272.08,"10","933.949825301029","24"
661531.93,6866284.95,"10","918.118394810902","25"
661533.3,6867235,"20","716.131119006669","26"
661535.57,6866298.66,"10","905.892362880284","27"
661541.5,6867232.4,"20","707.600206908124","28"
661542.32,6866308.42,"10","894.241793570464","29"
661544.7,6866695,"12","680.67772298546","30"
661547.4,6866323.02,"10","880.437220855802","31"
661562.2,6867226.9,"20","686.527903028384","32"
661571,6867225,"20","677.765085282355","33"
661612.74,6867977.81,"8","1190.36078910198","34"
661620.32,6867994.43,"9","1201.41476806578","35"
661621,6866245.48,"38","887.511018146176","36"
661627.32,6868026.63,"15","1226.78233691962","37"
661634.1,6868042.27,"16","1237.73119106553","38"
661639.31,6868055.95,"16","1247.7336037676","39"
661646.46,6868066.88,"15","1254.51125208902","40"
661652.97,6866211.73,"4","894.611255756892","41"
661655.04,6868086.99,"15","1269.13320443502","42"
661656.44,6866251.52,"10","860.733948990461","43"
661662.31,6868102.03,"16","1279.85669938438","44"
661666.27,6868020.56,"9","1204.16612625524","45"
661672.08,6866108.55,"1","969.490875052574","46"
661674.1,6866238.46,"23","860.55786034606","47"
661677.11,6868037.09,"9","1214.57101427487","48"
661677.2,6868137.25,"15","1306.28469290365","49"
661680.67,6868054.22,"9","1228.71098716359","50"
661684.29,6868080.92,"9","1251.68638183721","51"
661687.96,6868159.13,"15","1322.42820450937","52"
661693.14,6868189.32,"14","1348.58844854429","53"
661693.18,6868175.57,"14","1335.76943197004","54"
661696.23,6866225.17,"18","858.59170420721","55"
661697.92,6867979.42,"9","1153.47859783555","56"
661701.64,6868007.23,"8","1177.25075952817","57"
661703.32,6868023.3,"9","1191.26138047158","58"
661708.71,6868126.25,"8","1284.19041151568","59"
661711.55,6868056.45,"8","1218.48148221195","60"
661713.46,6868069.89,"8","1230.1592956443","61"
661724.63,6868084.19,"8","1239.22128396394","62"
661725.62,6868217.4,"52","1363.5700750196","63"
661728.45,6867943.27,"9","1107.91530753843","64"
661730.33,6868125.32,"8","1275.5020247871","65"
661732.72,6868250.28,"52","1392.28516786609","66"
661736.81,6868273.78,"52","1413.25179673028","67"
