fid,nomnumero,nature,importance,nom,nom_1_g,usage
98,,R,"5",DENYS COCHIN,R DENYS COCHIN,public
99,,R,"5",NOEMIE,R NOEMIE,public
100,,R,"5",TRINQUAMELLE,R TRINQUAMELLE,privé
101,,R,"5",SAINTE-BARBE,R SAINTE-BARBE,public
102,,ALL,"5",PAQUERETTES,ALL DES PAQUERETTES,privé
103,,R,"5",MARTIN LUTHER KING,R MARTIN LUTHER KING,privé
104,,R,"4",HENRI DOUILLOT,R HENRI DOUILLOT,public
126,,R,"5",LOUIS LEON COLLIGNON,R LOUIS LEON COLLIGNON,public
105,,CH,"5",MONTREUIL A CLAYE,CH DE MONTREUIL A CLAYE,public
106,,ALL,"5",RULHIERE,ALL RULHIERE,public
107,,VLA,"5",CARNOT,VLA CARNOT,public
108,,R,"5",VARSOVIE,R DE VARSOVIE,public
109,,R,"5",GEORGES ELIE,R GEORGES ELIE,public
110,,VLA,"5",MADELEINE,VLA MADELEINE,public
111,,ALL,"5",MOZART,ALL MOZART,public
112,,ALL,"5",TILLEULS,ALL DES TILLEULS,public
113,,ALL,"5",MARIA DERAIMES,ALL MARIA DERAIMES,privé
114,,AV,"5",VILLAGEOISE,AV DE LA VILLAGEOISE,public
115,,RLE,piéton,SAINTE-BARBE,RLE SAINTE-BARBE,public
116,,R,"4",BAUDIN,R BAUDIN,public
117,,ALL,"5",COQUELICOTS,ALL DES COQUELICOTS,public
118,,R,"5",GERMAINE TILLION,R GERMAINE TILLION,public
119,,ALL,"5",FRENES,ALL DES FRENES,privé
120,,R,"4",PROFESSEUVAILLANT,R DU PROFESSEUR VAILLANT,public
121,,R,"5",BON AIR,R DU BON AIR,public
122,,AV,"5",JEAN-BAPTISTE DEVILLERS,AV JEAN-BAPTISTE DEVILLERS (ex - CH LATERAL),public
123,,R,"5",GARGANTUA,R GARGANTUA,public
124,,AV,"1",GALLIENI,AV GALLIENI,public
125,,R,"5",POTAGER,R DU POTAGER,privé
127,,AV,"5",SCIENCES,AV DES SCIENCES,public
128,,R,"6",JEAN MONNET,R JEAN MONNET,public
129,,R,"4",LUCIEN CHAPELAIN,R LUCIEN CHAPELAIN,public
130,,R,"5",JEAN RIOULT,R JEAN RIOULT,public
131,,AV,"5",MARGUERITE,AV MARGUERITE,public
132,,R,"5",AVIATION,R DE L'AVIATION,public
133,,R,"4",EMILE ZOLA,R EMILE ZOLA,public
134,,AV,"5",MESARMES,AV DES MESARMES,public
135,,ALL,"5",MARYSE BASTIE,ALL MARYSE BASTIE,privé
136,,ALL,"5",BOILEAU,ALL BOILEAU,public
137,,R,"5",VIEUX MOULIN,R DU VIEUX MOULIN,public
138,,ALL,"5",ARTS,ALL DES ARTS,public
139,,ALL,"5",CHENES,ALL DES CHENES,public
140,,R,"5",HENRI DUNANT,R HENRI DUNANT,privé
141,,ALL,"5",JOSE MARTI,ALL JOSE MARTI,public
142,,Sans,"6",Sans nom,,privé
143,,ALL,"5",SYCOMORES,ALL DES SYCOMORES,privé
