organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1
IMMOBILIERE 3F,93/2011/2002-844/058,2,2,ALLEE,PAUL LAFARGUE,PAUL LAFARGUE,L,6,bondy,93140,2 Allée Paul Lafargue 93140 Bondy,0.97
IMMOBILIERE 3F,93/2011/2002-844/057,27,27,ALLEE,PAUL LAFARGUE,PAUL LAFARGUE,L,54,bondy,93140,27 Allée Paul Lafargue 93140 Bondy,0.97
ICF LA SABLIERE,93/1997/85-1231/054,24-28,26,RUE,POLISSARD,POLISSARD,L,61,bondy,93140,28 Rue Auguste Polissard 93140 Bondy,0.71
SCI FONCIERE Dl 01/2005,93/2005/2002-846/048,,,RUE,RENÉ DUMONT,RENÉ DUMONT,L,91,bondy,93140,Rue René Dumont 93140 Bondy,0.96
CDC HABITAT SOCIAL,93/1984/79-444/004,2,2,RUE,"ROBERT DOUVILLEZ 
VILLA DES CERISES",ROBERT DOUVILLEZ,L,23,bondy,93140,2 Rue Robert Douvillez 93140 Bondy,0.65
PRIVÉ,93/1980/78-1307/050,26,26,RUE,ROGER SALENGRO,ROGER SALENGRO,L,1,bondy,93140,26 Rue Roger Salengro 93140 Bondy,0.98
SEQENS,93/2013/2011-1191/137,4,4,RUE,ROGER SALENGRO,ROGER SALENGRO,L,1,bondy,93140,4 Rue Roger Salengro 93140 Bondy,0.98
SEQENS,93/2013/2011-1191/138,4,4,RUE,ROGER SALENGRO,ROGER SALENGRO,L,3,bondy,93140,4 Rue Roger Salengro 93140 Bondy,0.98
BONDY HABITAT,93/201812011-1191/095,34bis -34ter,34,RUE,ROGER SALENGRO,ROGER SALENGRO,L,4,bondy,93140,34ter Rue Roger Salengro 93140 Bondy,0.84
BONDY HABITAT,93/2018/2011-1191/094,34bis -34ter,34,RUE,ROGER SALENGRO,ROGER SALENGRO,L,16,bondy,93140,34ter Rue Roger Salengro 93140 Bondy,0.84
ESPACE HABITAT CONSTRUCTION,93/1989/85-1231/071,107,107,RUE,ROGER SALENGRO,ROGER SALENGRO,L,45,bondy,93140,107 Rue Roger Salengro 93140 Bondy,0.98
BONDY HABITAT,93/1990/85-1231/058,156 à 164,160,RUE,ROGER SALENGRO,ROGER SALENGRO,L,48,bondy,93140,164 Rue Roger Salengro 93140 Bondy,0.84
ANTIN RESIDENCES,93/1993/85-1231/123,20-22,22,RUE,ROGER SALENGRO,ROGER SALENGRO,L,56,bondy,93140,22 Rue Roger Salengro 93140 Bondy,0.9
BONDY HABITAT,93/2010/2002-844/098,7,7,RUE,SIMONE DE B.EAUVOIR,SIMONE DE BEAUVOIR,L,23,bondy,93140,7 Rue Simone de Beauvoir 93140 Bondy,0.89
SEINE-SAINT-DENIS HABITAT,93/2007/2002-844/054,1-27,15,AVENUE,SUZANNE BUISSON,SUZANNE BUISSON,L,26,bondy,93140,27 Avenue Suzanne Buisson 93140 Bondy,0.92
BONDY HABITAT,93/1999/85-1231/074,"1 à 27
et 2 à 34",27,AVENUE,SUZANNE BUISSON,SUZANNE BUISSON,L,200,bondy,93140,34 Avenue Suzanne Buisson 93140 Bondy,0.71
BONDY HABITAT,93/2017/2011-1191/167,30-30bis,30,AVENUE,VARAGNAT,VARAGNAT,L,2,bondy,93140,30bis Avenue Henri Varagnat 93140 Bondy,0.77
BONDY HABITAT,93/2017/2011-1191/168,30-30bis,30,AVENUE,VARAGNAT,VARAGNAT,L,8,bondy,93140,30bis Avenue Henri Varagnat 93140 Bondy,0.77
BONDY HABITAT,93/2017/2011-1191/166,30-30bis,30,AVENUE,VARAGNAT,VARAGNAT,L,28,bondy,93140,30bis Avenue Henri Varagnat 93140 Bondy,0.77
