organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1
BONDY HABITAT,93/2017/2011-1191/171,"56
1",1,"AVENUE 
ALLEE","DE LATTRE DE TASSIGNY
 GEORGE SAND", GEORGE SAND,L,22,bondy,93140,1 Av du Mal de Lattre de Tassigny 93140 Bondy,0.55
BONDY HABITAT,93/2017/2011-1191/059,34,34,RUE,DE VARSOVIE,DE VARSOVIE,L,1,bondy,93140,34 Rue de Varsovie 93140 Bondy,0.97
BONDY HABITAT,93/2017/2011-1191/058,34,34,RUE,DE VARSOVIE,DE VARSOVIE,L,19,bondy,93140,34 Rue de Varsovie 93140 Bondy,0.97
BONDY HABITAT,93/1992/85-1231/008,63 à 71,67,RUE,DE VERSAILLES,DE VERSAILLES,L -,33,bondy,93140,71 Rue de Versailles 93140 Bondy,0.85
ICF LA SABLIERE,93/1994/85-1231/040,132 à 168,150,ROUTE,DE VILLEMOMBLE,DE VILLEMOMBLE,L,376,bondy,93140,168 Route de Villemomble 93140 Bondy,0.84
SEQENS,93/1985/78-1307/137,15,15,ALLEE,DES ARTS,DES ARTS,L,11,bondy,93140,15 Allée des Arts 93140 Bondy,0.97
IMMOBILIERE 3F,93/2014/2002-844/012,11,11,RUE,DES ESCHOLIERS,DES ESCHOLIERS,L,37,bondy,93140,11 Rue des Escholiers 93140 Bondy,0.96
IMMOBILIERE 3F,93/2014/2002-844/011,11,11,RUE,"DES ESCHOLIERS 
LEON JOUHAUX",DES ESCHOLIERS,L,5,bondy,93140,11 Avenue Leon Jouhaux 93140 Bondy,0.57
BONDY HABITAT,93/2014/2011-1191/020,2,2,RUE,"DES FRERES DARTY 
JULES GUESDE",DES FRERES DARTY,L,19,bondy,93140,2 Rue des Frères Darty 93140 Bondy,0.71
BONDY HABITAT,93/2010/2002-844/161,1,1,ALLEE,"DES PAQUERETTES 
DES ANEMONES 
DES PRIMEVERES 
DES PENSEES
DES ORCHIDEES 
DES PAQUERETTES 
DES RENONCULES 
DES LILAS
DES VIOLETTES 
MARECHAL DE LATTRE DE TASSIGNY",DES PAQUERETTES ,L,590,bondy,93140,1 Allee des Paquerettes 93140 Bondy,0.23
IMMOBILIERE 3F,93/2010/2002-844/059,45,45,AVENUE,DES SCIENCES,DES SCIENCES,L,1,bondy,93140,45 Avenue des Sciences 93140 Bondy,0.97
PRIVÉ,93/2000/78-1307/045,3,3,ALLEE,DES SYCOMORES ,DES SYCOMORES ,L,1,bondy,93140,3 Allee des Sycomores 93140 Bondy,0.96
CDC HABITAT SOCIAL,93/1993/85-1231/081,1-3-5-7,5,RUE,DU BREUIL,DU BREUIL,L,48,bondy,93140,7 Rue du Breuil 93140 Bondy,0.8
BONDY HABITAT,93/1999/85-1231/076,2 à 22,10,RUE,DU POTAGER,DU POTAGER,L,209,bondy,93140,22 Rue du Potager 93140 Bondy,0.85
BONDY HABITAT,93/1997/85-1231/006,"16/20
et 17/39",20,RUE,DU SERGENT BOBILLOT,DU SERGENT BOBILLOT,L,247,bondy,93140,39 Rue du Sergent Bobillot 93140 Bondy,0.75
IMMOBILIERE 3F,93/2012/2002-844/164,153,153,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,4,bondy,93140,153 Rue Edouard Vaillant 93140 Bondy,0.98
1001VIES HABITAT,93/1981/79-444/015,,,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,37,bondy,93140,Rue Edouard Vaillant 93140 Bondy,0.98
IMMOBILIERE 3F,93/2012/2002-844/163,153,153,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,41,bondy,93140,153 Rue Edouard Vaillant 93140 Bondy,0.98
ANTIN RESIDENCES,93/1993/85-1231/149,166-168-170,168,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,49,bondy,93140,170 Rue Edouard Vaillant 93140 Bondy,0.81
IMMOBILIERE 3F,93/2013/2011-1191/180,2,2,PLACE,EUDEMON,EUDEMON,L,4,bondy,93140,2 Place Eudémon 93140 Bondy,0.96
IMMOBILIERE 3F, 937/2011-1191/179,"2 et 4
2",4,"PLACE
RUE","EUDEMON 
GARGANTUA",EUDEMON,L,37,bondy,93140,2 Rue Gargantua 93140 Bondy,0.56
ANTIN RESIDENCES,93/2017/2011-1191/083,15-17,15,RUE,FONTAINE,FONTAINE,L,8,bondy,93140,17 Rue Fontaine 93140 Bondy,0.88
ANTIN RESIDENCES,93/2017/2011-1191/084,15-17,15,RUE,FONTAINE,FONTAINE,L,12,bondy,93140,17 Rue Fontaine 93140 Bondy,0.88
VILOGIA,93/1985/78-1307/124,25,25,RUE,FONTAINE,FONTAINE,L,13,bondy,93140,25 Rue Fontaine 93140 Bondy,0.97
ANTIN RESIDENCES,93/2017/2011-1191/082,15-17,15,RUE,FONTAINE,FONTAINE,L,22,bondy,93140,17 Rue Fontaine 93140 Bondy,0.88
SA HLM DU DEPARTEMENT DE L'AISNE,93/2017/2011-1191/095,33,33,RUE,FONTAINE,FONTAINE,L,59,bondy,93140,33 Rue Fontaine 93140 Bondy,0.97
BONDY HABITAT,93/1999/85-1231/077,"2-20
2-16
45 bis à 51 bis
173  et 179
2",20,RUE,"G.  APOLLINAIRE 
P.ELUARD
L. A. BLANQUI
E. VAILLANT 
DU MOLERET",GUILLAUME APOLLINAIRE,L,394,bondy,93140,2 Rue Edouard Vaillant 93140 Bondy,0.31
PRIVÉ,093-S-LS-201804-0051,211,211,AVENUE,GALLIENI,GALLIENI,L,1,bondy,93140,211 Avenue Galliéni 93140 Bondy,0.97
PRIVÉ,093-S-LS-201809-0200,209,211,AVENUE,GALLIENI,GALLIENI,L,1,bondy,93140,211 Avenue Galliéni 93140 Bondy,0.97
IMMOBILIERE 3F,93/2017/2011-1191/158,132,132,AVENUE,GALLIENI,GALLIENI,L,4,bondy,93140,132 Avenue Galliéni 93140 Bondy,0.97
IMMOBILIERE 3F,93/2018/2011-1191/020,144,144,AVENUE,GALLIENI,GALLIENI,L,5,bondy,93140,144 Avenue Galliéni 93140 Bondy,0.97
CDC HABITAT SOCIAL,NC,211,211,AVENUE,GALLIENI,GALLIENI,L,7,bondy,93140,211 Avenue Galliéni 93140 Bondy,0.97
IMMOBILIERE 3F,93/2017/2011-1191/157,132,132,AVENUE,GALLIENI,GALLIENI,L,28,bondy,93140,132 Avenue Galliéni 93140 Bondy,0.97
IMMOBILIERE 3F,93/2018/2011-1191/019,144,144,AVENUE,GALLIENI,GALLIENI,L,41,bondy,93140,144 Avenue Galliéni 93140 Bondy,0.97
BONDY HABITAT,93/2000/85-1231/008,84,84,RUE,GALLIÉNI,GALLIÉNI,L,62,bondy,93140,84 Avenue Galliéni 93140 Bondy,0.77
IMMOBILIERE 3F,NC,2-16,10,RUE,GASTON DEFERRE,GASTON DEFERRE,L,92,bondy,93140,16 Rue Gaston Defferre 93140 Bondy,0.89
IMMOBILIERE 3F,93/2011/2002-844/117,18,18,RUE,GASTON DEFFERRE,GASTON DEFFERRE,L,3,bondy,93140,18 Rue Gaston Defferre 93140 Bondy,0.97
