- rue Jules Guesde
- rue Auguste Pollissard
- avenue Carnot
- avenue Pasteur
- place de la Gare
- rue Salengro
- route de Villemomble
- chemin du Pont
- route d’Aulnay
- avenue Galliéni
- avenue de Rosny
- rue Edouard Vaillant
- carrefour Michelet
- avenue République
- cours de la République
- rue Louis-Auguste Blanqui
- rue Martin Luther-King
- rue Simone de Beauvoir
- rue Henri Dunant
- rue Etienne Dolet
- avenue Maurice Benhamou
- rue Lucien Chapelain
- avenue Suzanne Buisson
- rue Jean Lebas
- rue Odette Pain
- avenue Jean Moulin
- avenue Léon Blum
- rue Arthur Groussier
- rue Fontaine
- rue Lucie Aubrac
- rue Rol-Tanguy
- avenue de Gueugnon
- rue Paul Renaud
- rue du Sergent Bobillot
- avenue de Metz
- impasse Jacques Brel
- rue de Varsovie
- villa Thorel
- rue Arthur Rimbaud
- allée du Moulin
- avenue du maréchal Delattre de Tassigny
- allée des Anémones
- place George Lyssandre
- avenue Varagnat
- rue Paul Eluard
- rue de Versailles
- rue de Meaux
- rue Germaine Tillion
- rue Jules Ferry
- rue de la Liberté
