"valeur donnée","importance","nb","longueur"
"à confirmer","à démontrer",1,278.903251989771
"à confirmer","base",16,3433.58261204922
"à retrouver","base",9,4656.53847934508
"à vérifier","base",1,473.903618949783
"projet","base",9,2018.44208696532
"utilisée","base",23,7206.64185809996
"à confirmer","complément",12,1384.49957945085
"à retrouver","complément",23,5150.61388239795
"projet","complément",4,221.486027076175
"utilisée","complément",17,961.491220859516
