"clé","type","Nom court","Nom long","Type de périmètre (court)","Type de périmètre (long)","Date de début de validité","Date de fin de validité","Commentaires
(Vérification importante)","Source de la donnée"
" MERCEDES BENZ CACHIA","BASIAS","Site BASIAS IDF9303352 (en activité) : MERCEDES BENZ CACHIA ; GARAGE DAVIET","Site BASIAS IDF9303352 (en activité) : MERCEDES BENZ CACHIA ; GARAGE DAVIET","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303352 (en activité) : MERCEDES BENZ CACHIA ; GARAGE DAVIET","BRGM / InfoTerre"
" MOBIL OIL FRANCE ","BASIAS","Site BASIAS IDF9302119 (activité terminée) : MOBIL OIL FRANCE (Sté)","Site BASIAS IDF9302119 (activité terminée) : MOBIL OIL FRANCE (Sté)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302119 (activité terminée) : MOBIL OIL FRANCE (Sté)","BRGM / InfoTerre"
" MOREAU ","BASIAS","Site BASIAS IDF9302138 (activité terminée) : MOREAU (M.)","Site BASIAS IDF9302138 (activité terminée) : MOREAU (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302138 (activité terminée) : MOREAU (M.)","BRGM / InfoTerre"
" OPHLM de la VILLE de BONDY","BASIAS","Site BASIAS IDF9302132 (en activité) : OPHLM de la VILLE de BONDY","Site BASIAS IDF9302132 (en activité) : OPHLM de la VILLE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302132 (en activité) : OPHLM de la VILLE de BONDY","BRGM / InfoTerre"
" OPHLM de la VILLE de BONDY","BASIAS","Site BASIAS IDF9302141 (en activité) : OPHLM de la VILLE de BONDY","Site BASIAS IDF9302141 (en activité) : OPHLM de la VILLE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302141 (en activité) : OPHLM de la VILLE de BONDY","BRGM / InfoTerre"
" OPHLM de la VILLE de BONDY","BASIAS","Site BASIAS IDF9302146 (en activité) : OPHLM de la VILLE de BONDY","Site BASIAS IDF9302146 (en activité) : OPHLM de la VILLE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302146 (en activité) : OPHLM de la VILLE de BONDY","BRGM / InfoTerre"
" OPHLM de la VILLE de BONDY","BASIAS","Site BASIAS IDF9302148 (en activité) : OPHLM de la VILLE de BONDY","Site BASIAS IDF9302148 (en activité) : OPHLM de la VILLE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302148 (en activité) : OPHLM de la VILLE de BONDY","BRGM / InfoTerre"
" OPHLM de la VILLE de BONDY","BASIAS","Site BASIAS IDF9302149 (en activité) : OPHLM de la VILLE de BONDY","Site BASIAS IDF9302149 (en activité) : OPHLM de la VILLE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302149 (en activité) : OPHLM de la VILLE de BONDY","BRGM / InfoTerre"
" OPHLM de la VILLE de BONDY","BASIAS","Site BASIAS IDF9302150 (en activité) : OPHLM de la VILLE de BONDY","Site BASIAS IDF9302150 (en activité) : OPHLM de la VILLE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302150 (en activité) : OPHLM de la VILLE de BONDY","BRGM / InfoTerre"
" PEUGEOT-TALBOT","BASIAS","Site BASIAS IDF9302122 (en activité) : PEUGEOT-TALBOT NCA CONCESS ; NCA - NOUVELLE CENTRALE AUTOMOBILE","Site BASIAS IDF9302122 (en activité) : PEUGEOT-TALBOT NCA CONCESS ; NCA - NOUVELLE CENTRALE AUTOMOBILE","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302122 (en activité) : PEUGEOT-TALBOT NCA CONCESS ; NCA - NOUVELLE CENTRALE AUTOMOBILE","BRGM / InfoTerre"
" PRINCE ","BASIAS","Site BASIAS IDF9302140 (activité terminée) : PRINCE (M.)","Site BASIAS IDF9302140 (activité terminée) : PRINCE (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302140 (activité terminée) : PRINCE (M.)","BRGM / InfoTerre"
" PROTEC INDUSTRIE","BASIAS","Site BASIAS IDF9302152 (en activité) : PROTEC INDUSTRIE ; BOLLE et ses fils","Site BASIAS IDF9302152 (en activité) : PROTEC INDUSTRIE ; BOLLE et ses fils","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302152 (en activité) : PROTEC INDUSTRIE ; BOLLE et ses fils","BRGM / InfoTerre"
" SAPEI","BASIAS","Site BASIAS IDF9302137 (activité terminée) : SAPEI","Site BASIAS IDF9302137 (activité terminée) : SAPEI","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302137 (activité terminée) : SAPEI","BRGM / InfoTerre"
" SODEG","BASIAS","Site BASIAS IDF9302131 (en activité) : SODEG - SYNDICAT MIXTE pour la PRODUCTION et la DISTRIBUTION de CHALEUR de BONDY","Site BASIAS IDF9302131 (en activité) : SODEG - SYNDICAT MIXTE pour la PRODUCTION et la DISTRIBUTION de CHALEUR de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302131 (en activité) : SODEG - SYNDICAT MIXTE pour la PRODUCTION et la DISTRIBUTION de CHALEUR de BONDY","BRGM / InfoTerre"
" SOGETUB","BASIAS","Site BASIAS IDF9302133 (activité terminée) : SOGETUB","Site BASIAS IDF9302133 (activité terminée) : SOGETUB","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302133 (activité terminée) : SOGETUB","BRGM / InfoTerre"
" SPAPFA","BASIAS","Site BASIAS IDF9302111 (activité terminée) : SPAPFA","Site BASIAS IDF9302111 (activité terminée) : SPAPFA","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302111 (activité terminée) : SPAPFA","BRGM / InfoTerre"
" Sté CHIMIQUE et METALLURGIQUE de BONDY","BASIAS","Site BASIAS IDF9302154 (activité terminée) : Sté CHIMIQUE et METALLURGIQUE de BONDY","Site BASIAS IDF9302154 (activité terminée) : Sté CHIMIQUE et METALLURGIQUE de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302154 (activité terminée) : Sté CHIMIQUE et METALLURGIQUE de BONDY","BRGM / InfoTerre"
" Sté NOUVELLE des LITS METALLIQUES ","BASIAS","Site BASIAS IDF9305173 (état de l'activité inconnu) : Sté NOUVELLE des LITS METALLIQUES (FABRICATION DE LITS METALLIQUES)","Site BASIAS IDF9305173 (état de l'activité inconnu) : Sté NOUVELLE des LITS METALLIQUES (FABRICATION DE LITS METALLIQUES)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9305173 (état de l'activité inconnu) : Sté NOUVELLE des LITS METALLIQUES (FABRICATION DE LITS METALLIQUES)","BRGM / InfoTerre"
" TALBOT PEUGEOT","BASIAS","Site BASIAS IDF9302155 (activité terminée) : TALBOT PEUGEOT ; PEUGEOT ; CHRYSLER FRANCE ; CHRYSLER SIMCA ; SIMCA ; FONDERIES MODERNES de l'AUTOMOBILE ; THIVOT (M.)","Site BASIAS IDF9302155 (activité terminée) : TALBOT PEUGEOT ; PEUGEOT ; CHRYSLER FRANCE ; CHRYSLER SIMCA ; SIMCA ; FONDERIES MODERNES de l'AUTOMOBILE ; THIVOT (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302155 (activité terminée) : TALBOT PEUGEOT ; PEUGEOT ; CHRYSLER FRANCE ; CHRYSLER SIMCA ; SIMCA ; FONDERIES MODERNES de l'AUTOMOBILE ; THIVOT (M.)","BRGM / InfoTerre"
" TOUZET ","BASIAS","Site BASIAS IDF9302127 (activité terminée) : TOUZET (M.)","Site BASIAS IDF9302127 (activité terminée) : TOUZET (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302127 (activité terminée) : TOUZET (M.)","BRGM / InfoTerre"
" TRANAUTO ","BASIAS","Site BASIAS IDF9304539 (état de l'activité inconnu) : TRANAUTO (CARROSSERIE PEINTURE AUTOMOBILE)","Site BASIAS IDF9304539 (état de l'activité inconnu) : TRANAUTO (CARROSSERIE PEINTURE AUTOMOBILE)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9304539 (état de l'activité inconnu) : TRANAUTO (CARROSSERIE PEINTURE AUTOMOBILE)","BRGM / InfoTerre"
" UDERZO ; BIDAULT","BASIAS","Site BASIAS IDF9302120 (activité terminée) : UDERZO ; BIDAULT (M.)","Site BASIAS IDF9302120 (activité terminée) : UDERZO ; BIDAULT (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302120 (activité terminée) : UDERZO ; BIDAULT (M.)","BRGM / InfoTerre"
" UNIPAN ; HUMBERT et ROSSIGNOL ","BASIAS","Site BASIAS IDF9302136 (activité terminée) : UNIPAN ; HUMBERT et ROSSIGNOL (MM.) ; DEPERRAZ et HUMBERT (MM.)","Site BASIAS IDF9302136 (activité terminée) : UNIPAN ; HUMBERT et ROSSIGNOL (MM.) ; DEPERRAZ et HUMBERT (MM.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302136 (activité terminée) : UNIPAN ; HUMBERT et ROSSIGNOL (MM.) ; DEPERRAZ et HUMBERT (MM.)","BRGM / InfoTerre"
" VILLIER ","BASIAS","Site BASIAS IDF9302159 (activité terminée) : VILLIER (M.)","Site BASIAS IDF9302159 (activité terminée) : VILLIER (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302159 (activité terminée) : VILLIER (M.)","BRGM / InfoTerre"
