nom_ets,num_dep,adresse,cd_insee,cd_postal,commune,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
BONDY HABITAT (OPHLM),93,RUE JEAN MOULIN - (30 RUE SUZANNE BUISSON - ex face au 47,93010,93140,BONDY,48.913465,2.480799,30 Avenue Suzanne Buisson 93140 Bondy,0.49442721845318854,,housenumber,93010_8880_00030,30,30 Avenue Suzanne Buisson,Avenue Suzanne Buisson,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
2A TRADING,93,33 avenue Galliéni,93010,93140,BONDY,48.905466,2.474089,33 Avenue Galliéni 93140 Bondy,0.9743663636363636,,housenumber,93010_4120_00033,33,33 Avenue Galliéni,Avenue Galliéni,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
MASQUES DE FRANCE,93,63-65 rue Marcel Dassault,93010,93140,BONDY,48.888364,2.481652,65 Rue Marcel Dassault 93140 Bondy,0.8957751515151514,,housenumber,93010_6125_00065,65,65 Rue Marcel Dassault,Rue Marcel Dassault,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
SOCIETE ALLIAGE,93,11 RUE MARCEL DASSAULT,93010,93140,BONDY,48.888288,2.480312,11 Rue Marcel Dassault 93140 Bondy,0.9715327272727272,,housenumber,93010_6125_00011,11,11 Rue Marcel Dassault,Rue Marcel Dassault,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
LORA GAZ   SARL,93,5 RUE DE TREMEUGE,93010,93140,BONDY,48.899346,2.495496,5 Rue de Tremeuge 93140 Bondy,0.970451818181818,,housenumber,93010_9180_00005,5,5 Rue de Tremeuge,Rue de Tremeuge,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
ETS DARTY ET FILS,93,129-155 AV GAL GALLIENI,93010,93140,BONDY,48.906472,2.483683,155 Avenue Galliéni 93140 Bondy,0.6480260372960372,0.35004903288201156,housenumber,93010_4120_00155,155,155 Avenue Galliéni,Avenue Galliéni,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
ICF LA SABLIERE,93,132-168 Route DE VILLEMOMBLE,93010,93140,BONDY,48.891171,2.490173,168 Route de Villemomble 93140 Bondy,0.881572634032634,,housenumber,93010_9670_00168,168,168 Route de Villemomble,Route de Villemomble,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
M. DIDI Maurice,93,37 RUE DE VARSOVIE,93010,93140,BONDY,48.891839,2.475536,37 Rue de Varsovie 93140 Bondy,0.9680181818181818,,housenumber,93010_9610_00037,37,37 Rue de Varsovie,Rue de Varsovie,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
EFR FRANCE,93,165 avenue du Général Galliéni,93010,93140,BONDY,48.906816,2.485196,165 Avenue Galliéni 93140 Bondy,0.7304639246119733,0.6553260042283298,housenumber,93010_4120_00165,165,165 Avenue Galliéni,Avenue Galliéni,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
STPS DECHETS,93,Chemin du Halage,93010,93140,BONDY,48.90825,2.476896,Chemin Latéral 93140 Bondy,0.5839259779614325,0.5822587012987013,street,93010_5109,,Chemin Latéral,Chemin Latéral,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
CHF (SARL),93,"5, chemin latéral",93010,93140,BONDY,48.908329,2.478526,5 Chemin Latéral 93140 Bondy,0.9696009090909091,,housenumber,93010_5109_00005,5,5 Chemin Latéral,Chemin Latéral,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,,ok
