Fichier encodé en UTF-8 sans BOM, champs séparés par un point-virgule
depcom;id_ea;principal;numero;repetition;complement;type_voie;libelle;rivoli;categorie;type;nombre_logements;actualité;numero_permis;commentaire;annee_construction;nombre_immeubles;nombre_niveaux;sous_type;enseigne;lien_cmt;x;y;code_epsg;type_localisation;numero_parcelle;iris;ilot;qp;canton;liste_insee;id_rp;dernier_tirage;echantillon;grp_rotation;datemaj_ea;com_anc_idft;com_sous_categorie;com_statut;com_nb_log;com_nom;com_date_creation;com_date_fermeture;com_capacite;envoi_modif_importante;envoi_commentaire
93010;930100000832547;O;10;;;R;DE MEAUX;6180;HABIT;0021;1;3;PC9301018B0060;MAIRIE 30/03/2022: idem¶MAIRIE 03/03/2021:  maison 2 étages construite fenêtres posées pas de nom sur la boite aux lettres travaux en cours¶INSEE 15/02/2021: Suite contrôles PC vu photo maison bien avancée sur google maps (image oct 2020). Vu 2PB+1TH merci de vérifier sur terrain si logement habitable. ¶INSEE 05/09/2019: EA créée remplace EA existante ?  Destruction ancien bâti ?  Si oui, merci d’effectuer les modifications (sans oublier de périmer l’ancienne EA).¶MAIRIE 19/06/2020:  maison 2 étages en construction;0;;;;;1;662121.70000;6868520.70000;2154;BDA1;A0078;0102;;;06;O;;;N;;;;;;;;;;;;
93010;930100000907995;O;6;;;R;DU QUATRE SEPTEMBRE;7950;HABIT;0021;1;3;PC9301019B0056;MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021:  PC 9301019B0035 travaux pas commencés¶INSEE 05/11/2020: Suite PC 2E FLUX 20-21 création EA sur existant  - d'après descriptif des travaux : DEMOLITION DE 2 BATIMENTS EXISTANTS - CONSTRUCTION D'UNE MAISON SUR 4 NIVEAUX - A Vérifier - ATTENTION EA échantillonnée -;0;;;;;1;662391.60000;6868102.20000;2154;BDA1;F0058;0105;;;06;O;;;N;;;;;;;;;;;;
93010;930100000997693;O;25;;;R;FONTAINE;3550;HABIT;0023;9;2;PC9301020B0048;MAIRIE 15/11/2022: immeubles muré squatté¶MAIRIE 30/03/2022: idem, bailleurs villogia¶MAIRIE 16/11/2021: travaux de réhabilitation. pas de destruction ancien bâti¶INSEE 23/09/2021: Suite PC 1ER FLUX 21-22 EA créée remplace EA existante ? Destruction de l'ancien bâti ?¶Descriptif des travaux :¶    RESTRUCTURATION IMMEUBLE EXISTANT ET CREATION DE 9 LOGEMENTS.;0;;;;;1;662244.40000;6867833.10000;2154;BDA1;F0155;0106;;;06;O;;;N;;;;;;;;;;;;
93010;930100001063694;O;3;;;AV;DENISE;2520;HABIT;0023;2;2;PC9301020B0080;INSEE 28/11/2022: Merci de vérifier l'adressage de cette EA et de l'EA déjà existante au 3 avenue Denise (accès secondaire 64 Edouard Vaillant).¶MAIRIE 10/11/2022: 1 BAL verif sur le permis¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour 2 logts, pas d'information sur l'adresse ni sur la référence cadastrale.¶Avant de rendre habitable vérifier et modifier l'adresse, le positionnement et la référence cadastrale de ces 2 logts.;0;;;;;1;662145.12648;6866301.80379;2154;MAN;AS0128;0303;;;06;O;;;N;;;;;;;;;;;;
93010;930100000004924;O;3;;;AV;DENISE;2520;HABIT;0021;1;0;;INSEE 28/11/2022: Merci de vérifier l'adresse de cette EA (64 Edouard Vaillant ou 3 av. Denise), d'autant plus qu'il y a un permis au 3 Denise (avec 2 logements en Travaux autorisés).¶MAIRIE 28/05/2018: Maison habitée à l'angle de la rue Edouard Vaillant et de l'avenue Denise. L'entrée de la maison est bien au 3 de l'Avenue Denise même si le numéro n'est pas indiqué. La BAL est bien au 3 de l'Avenue Denise mais sur la BAL, les occupants ont noté '64 rue Edouard Vaillant'.;1948;1;1;;;1;662145.12648;6866301.80379;2154;MAN;AS0128;0303;;;06;O;93010   AS03 013;2019;N;1;;;;;;;;;;;
93010;930100000004924;N;64;;;R;EDOUARD VAILLANT;3115;HABIT;0021;0;0;;INSEE 28/11/2022: Merci de vérifier l'adresse de cette EA (64 Edouard Vaillant ou 3 av. Denise), d'autant plus qu'il y a un permis au 3 Denise (avec 2 logements en Travaux autorisés).¶MAIRIE 28/05/2018: Maison habitée à l'angle de la rue Edouard Vaillant et de l'avenue Denise. L'entrée de la maison est bien au 3 de l'Avenue Denise même si le numéro n'est pas indiqué. La BAL est bien au 3 de l'Avenue Denise mais sur la BAL, les occupants ont noté '64 rue Edouard Vaillant'.;1948;1;1;;;1;662151.60959;6866300.78096;2154;MAN;AS0128;0303;;;06;O;93010   AS03 013;2019;N;1;;;;;;;;;;;
93010;930100000002800;O;19;BIS;;R;CHARLES FERDINAND;1469;HABIT;0021;1;3;;MAIRIE 01/12/2022: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: Idem¶Travaux arrêtés depuis longtemps d'après sa voisine d'à côté (qui est une collègue). Il semblerait que le propriétaire soit logé chez ses parents à Bondy rue du Progrès. Pas de PC affiché. Je n'ai vu moi-même aucune activité à cette adresse depuis longtemps.¶MAIRIE 26/03/2019: RAS rien n'a changé depuis l'année dernière, PC effacé, pas de travaux visibles en cours.¶MAIRIE 18/06/2020: maison abandonnée pas de travaux en cours;1948;1;1;;;1;662389.00000;6866764.00000;2154;BDA1;AB0039;0402;;;06;O;93010   AB02 023;2013;N;5;;;;;;;;;;;
93010;930100001016986;O;53;;;AV;CARNOT;1430;HABIT;0023;49;3;PC9301020B0036;MAIRIE 01/12/2022: 5 étages montées. Fini dans un an¶MAIRIE 06/04/2022: ouverture chantier côté Blanqui.¶INSEE 11/02/2022: Suite PC 3ème flux 21-22 création de l'EA - A priori construction de 49 logts : 3 parcelles cadastrales concernées AC0036-AC0037-AC0007 - Que deviennent les habitations sur ces 3 EA ? vont-elles être détruites ? Merci de bien vouloir vérifiers ces 3 EA -;0;;;;;1;662007.25439;6866812.75770;2154;MAN;AC0007;0402;;;06;O;;;N;;;;;;;;;;;;
93010;930100000904592;O;28;;;R;LOUIS AUGUSTE BLANQUI;5170;HABIT;0023;97;3;PC9301019B0030;MAIRIE 01/12/2022: Travaux en cours 5 étages fini dans 6 mois¶MAIRIE 06/04/2022: 2 étages.déjà construits -  à la place du numéro 20 -30;0;0;0;;;1;661967.00000;6866775.90000;2154;BDA1;AJ0060;0203;;;06;O;;;N;;;;;;;;;;;;
93010;930100000002850;O;79;;;R;LOUIS AUGUSTE BLANQUI;5170;HABIT;0021;1;3;;MAIRIE 01/12/2022: Travaux abandonnés Café petit Blanqui¶INSEE 12/07/2022: Suite Expertise Légale : EA actu 3.¶MAIRIE 07/07/2022: idem¶MAIRIE 22/06/2021:  pas de PC affiché pas de travaux commencés semble abandonné¶INSEE 19/02/2020:  suite RP 2020 FN, actualité 3-travaux commencés,  motif : Adresse non habitée, en cours de construction ou de réhabilitation, merci de vérifier le type, l'actualité, d'indiquer le n°du PC et le nombre de logements.¶MAIRIE 18/06/2020: pas de pc affiché maison abandonnée à proximité du café ' le petit blanqui' qui est fermé lui aussi;1948;1;1;;;1;662277.30000;6866660.50000;2154;BDA1;AB0003;0402;;;06;O;93010   AB03 047;2020;N;2;;;;;;;;;;;
