"Var1","Freq"
"0",12
"1",9
"2",21
"3",19
"7",596
"10",66
"13",3
"14",7
"15",8
"17",12
"20",2
"30",17
"31",22
"32",28
"33",68
"34",18
"37",4
"38",2
"43",7
"50",11
"60",1
"80",2
"99",11
