catv,nb,categorie
0,8,indéterminable
1,7,vélo
2,16,2 RM
3,17,autre véhicule
7,452,autre véhicule
10,53,autre véhicule
13,3,autre véhicule
14,6,autre véhicule
15,6,autre véhicule
17,11,autre véhicule
20,2,autre véhicule
30,11,2 RM
31,16,2 RM
32,23,2 RM
33,52,2 RM
34,13,2 RM
37,4,autre véhicule
38,1,autre véhicule
43,4,autre véhicule
50,6,EDP à moteur
60,1,EDP sans moteur
80,1,autre véhicule
99,8,autre véhicule
